sample	reads	bps	layer	date	year	month	day	note	timepoint
IHXI	1612380	342563544	Hypolimnion	05/28/07	2007	5	28		A
IHWF	3708198	801080302	Hypolimnion	06/07/07	2007	6	7		A
IHUS	3511992	752939133	Hypolimnion	06/13/07	2007	6	13		A
IHWI	8371360	1796913700	Hypolimnion	06/27/07	2007	6	27		A
IHWN	7116839	1488046660	Hypolimnion	07/02/07	2007	7	2		A
IHWG	7400745	1533862767	Hypolimnion	07/12/07	2007	7	12		A
IHWH	9958688	2174005593	Hypolimnion	07/25/07	2007	7	25		B
IHUZ	10125002	2143406512	Hypolimnion	07/31/07	2007	7	31		B
IHSA	6834363	1426065221	Hypolimnion	08/09/07	2007	8	9		B
IHWA	6241863	1366349514	Hypolimnion	08/20/07	2007	8	20		B
IHWY	5310084	1116544989	Hypolimnion	08/27/07	2007	8	27		C
IHWB	5241353	1108252187	Hypolimnion	09/10/07	2007	9	10		C
IHWU	6177609	1296750406	Hypolimnion	09/17/07	2007	9	17		C
IHXG	5779147	1230338286	Hypolimnion	10/01/07	2007	10	1		C
IHXO	6100129	1285584479	Hypolimnion	10/16/07	2007	10	16		C
IHXN	6434372	1381886862	Hypolimnion	11/05/07	2007	11	5		C
IHXW	4291617	906676917	Hypolimnion	11/14/07	2007	11	14		C
IHPY	6990840	1571558807	Hypolimnion	05/22/08	2008	5	22		A
IHSB	5422624	1165163015	Hypolimnion	05/29/08	2008	5	29		A
IHWS	2433752	524125272	Hypolimnion	06/13/08	2008	6	13		A
IHWX	9589080	2054399624	Hypolimnion	07/01/08	2008	7	1		A
IHWW	4149315	896531905	Hypolimnion	07/08/08	2008	7	8		A
IHXP	14530892	3157963623	Hypolimnion	07/15/08	2008	7	15		B
IHXT	9560844	2134565324	Hypolimnion	07/22/08	2008	7	22		B
IHXH	8498462	1818080350	Hypolimnion	07/29/08	2008	7	29		B
IHXA	7836070	1733914789	Hypolimnion	08/05/08	2008	8	5		B
IHXF	5095520	1131822927	Hypolimnion	08/12/08	2008	8	12		B
IHXU	6258676	1351877737	Hypolimnion	08/19/08	2008	8	19		B
IHXS	7213339	1560291546	Hypolimnion	08/25/08	2008	8	25		C
IHXX	9324966	2008140074	Hypolimnion	09/09/08	2008	9	9		C
IHPO	3302507	724004244	Hypolimnion	09/20/08	2008	9	20		C
IHWP	11182694	2430252063	Hypolimnion	10/04/08	2008	10	4		C
IHPN	9232161	1978530700	Hypolimnion	10/23/08	2008	10	23		C
IHWT	9220427	2018911602	Hypolimnion	05/29/09	2009	5	29		A
IHTZ	14080581	2931959657	Hypolimnion	06/03/09	2009	6	3		A
IHXY	8169605	1725473164	Hypolimnion	06/15/09	2009	6	15		A
IHUN	11495928	2449086088	Hypolimnion	06/23/09	2009	6	23		A
IHUO	8365964	1745220927	Hypolimnion	06/29/09	2009	6	29		A
IHUP	11981263	2557580219	Hypolimnion	07/07/09	2009	7	7		A
IHUA	10939925	2297592555	Hypolimnion	07/13/09	2009	7	13		A
IHUB	4407018	917718303	Hypolimnion	07/21/09	2009	7	21		B
IHUC	9714025	2042797905	Hypolimnion	07/27/09	2009	7	27		B
IHUH	7410276	1520796010	Hypolimnion	08/03/09	2009	8	3		B
IHUI	5489435	1107508420	Hypolimnion	08/11/09	2009	8	11		B
IHUF	10084366	2133116346	Hypolimnion	08/18/09	2009	8	18		B
