sample	reads	bps	layer	date	year	month	day	note	timepoint
H0586_93745_TroutBog_Hypo_Jun_01_2005_u+um.fastq			Hypolimnion	6/1/2005	2005	6	1		
H0586_93770_TroutBog_Hypo_Jun_01_2005_u+um.fastq			Hypolimnion	6/1/2005	2005	6	1		
H0587_93745_TroutBog_Hypo_Jun_22_2005_u+um.fastq			Hypolimnion	6/22/2005	2005	6	22		
H0587_93770_TroutBog_Hypo_Jun_22_2005_u+um.fastq			Hypolimnion	6/22/2005	2005	6	22		
H0588_93745_TroutBog_Hypo_Jun_29_2005_u+um.fastq			Hypolimnion	6/29/2005	2005	6	29		
H0588_93770_TroutBog_Hypo_Jun_29_2005_u+um.fastq			Hypolimnion	6/29/2005	2005	6	29		
H0589_93745_TroutBog_Hypo_Jul_13_2005_u+um.fastq			Hypolimnion	7/13/2005	2005	7	13		
H0589_93770_TroutBog_Hypo_Jul_13_2005_u+um.fastq			Hypolimnion	7/13/2005	2005	7	13		
H0590_93745_TroutBog_Hypo_Jul_27_2005_u+um.fastq			Hypolimnion	7/27/2005	2005	7	27		
H0590_93770_TroutBog_Hypo_Jul_27_2005_u+um.fastq			Hypolimnion	7/27/2005	2005	7	27		
H0591_93745_TroutBog_Hypo_Aug_11_2005_u+um.fastq			Hypolimnion	8/11/2005	2005	8	11		
H0591_93770_TroutBog_Hypo_Aug_11_2005_u+um.fastq			Hypolimnion	8/11/2005	2005	8	11		
H0592_93745_TroutBog_Hypo_Jun_01_2010_u+um.fastq			Hypolimnion	6/1/2010	2010	6	1		
H0592_93770_TroutBog_Hypo_Jun_01_2010_u+um.fastq			Hypolimnion	6/1/2010	2010	6	1		
H0593_93745_TroutBog_Hypo_Jun_15_2010_u+um.fastq			Hypolimnion	6/15/2010	2010	6	15		
H0593_93770_TroutBog_Hypo_Jun_15_2010_u+um.fastq			Hypolimnion	6/15/2010	2010	6	15		
H0594_93745_TroutBog_Hypo_Jun_29_2010_u+um.fastq			Hypolimnion	6/29/2010	2010	6	29		
H0594_93770_TroutBog_Hypo_Jun_29_2010_u+um.fastq			Hypolimnion	6/29/2010	2010	6	29		
H0595_93745_TroutBog_Hypo_Jul_12_2010_u+um.fastq			Hypolimnion	7/12/2010	2010	7	12		
H0595_93770_TroutBog_Hypo_Jul_12_2010_u+um.fastq			Hypolimnion	7/12/2010	2010	7	12		
H0596_93745_TroutBog_Hypo_Jul_27_2010_u+um.fastq			Hypolimnion	7/27/2010	2010	7	27		
H0596_93770_TroutBog_Hypo_Jul_27_2010_u+um.fastq			Hypolimnion	7/27/2010	2010	7	27		
H0597_93745_TroutBog_Hypo_Aug_10_2010_u+um.fastq			Hypolimnion	8/10/2010	2010	8	10		
H0597_93770_TroutBog_Hypo_Aug_10_2010_u+um.fastq			Hypolimnion	8/10/2010	2010	8	10		
H0598_93745_TroutBog_Hypo_Jun_07_2012_u+um.fastq			Hypolimnion	6/7/2012	2012	6	7		
H0598_93770_TroutBog_Hypo_Jun_07_2012_u+um.fastq			Hypolimnion	6/7/2012	2012	6	7		
H0599_93745_TroutBog_Hypo_Jun_21_2012_u+um.fastq			Hypolimnion	6/21/2012	2012	6	21		
H0599_93770_TroutBog_Hypo_Jun_21_2012_u+um.fastq			Hypolimnion	6/21/2012	2012	6	21		
H0600_93745_TroutBog_Hypo_Jul_05_2012_u+um.fastq			Hypolimnion	7/5/2012	2012	7	5		
H0600_93770_TroutBog_Hypo_Jul_05_2012_u+um.fastq			Hypolimnion	7/5/2012	2012	7	5		
H0601_93745_TroutBog_Hypo_Jul_12_2012_u+um.fastq			Hypolimnion	7/12/2012	2012	7	12		
H0601_93770_TroutBog_Hypo_Jul_12_2012_u+um.fastq			Hypolimnion	7/12/2012	2012	7	12		
H0602_93745_TroutBog_Hypo_Jul_26_2012_u+um.fastq			Hypolimnion	7/26/2012	2012	7	26		
H0602_93770_TroutBog_Hypo_Jul_26_2012_u+um.fastq			Hypolimnion	7/26/2012	2012	7	26		
H0603_93745_TroutBog_Hypo_Aug_10_2012_u+um.fastq			Hypolimnion	6/14/2012	2012	8	10		
H0603_93770_TroutBog_Hypo_Aug_10_2012_u+um.fastq			Hypolimnion	6/14/2012	2012	8	10		
H0604_93745_TroutBog_Hypo_Jun_08_2013_u+um.fastq			Hypolimnion	6/8/2013	2013	6	8		
H0604_93770_TroutBog_Hypo_Jun_08_2013_u+um.fastq			Hypolimnion	6/8/2013	2013	6	8		
H0605_93745_TroutBog_Hypo_Jun_20_2013_u+um.fastq			Hypolimnion	6/20/2013	2013	6	20		
H0605_93770_TroutBog_Hypo_Jun_20_2013_u+um.fastq			Hypolimnion	6/20/2013	2013	6	20		
H0606_93745_TroutBog_Hypo_Jun_27_2013_u+um.fastq			Hypolimnion	6/27/2013	2013	6	27		
H0606_93770_TroutBog_Hypo_Jun_27_2013_u+um.fastq			Hypolimnion	6/27/2013	2013	6	27		
H0607_93745_TroutBog_Hypo_Jul_11_2013_u+um.fastq			Hypolimnion	7/11/2013	2013	7	11		
H0607_93770_TroutBog_Hypo_Jul_11_2013_u+um.fastq			Hypolimnion	7/11/2013	2013	7	11		
H0608_93745_TroutBog_Hypo_Jul_18_2013_u+um.fastq			Hypolimnion	7/18/2013	2013	7	18		
H0608_93770_TroutBog_Hypo_Jul_18_2013_u+um.fastq			Hypolimnion	7/18/2013	2013	7	18		
H0609_93745_TroutBog_Hypo_Aug_08_2013_u+um.fastq			Hypolimnion	8/8/2013	2013	8	8		
H0609_93770_TroutBog_Hypo_Aug_08_2013_u+um.fastq			Hypolimnion	8/8/2013	2013	8	8		
IHXI	1612380	342563544	Hypolimnion	5/28/2007	2007	5	28		A
IHWF	3708198	801080302	Hypolimnion	6/7/2007	2007	6	7		A
IHUS	3511992	752939133	Hypolimnion	6/13/2007	2007	6	13		A
IHWI	8371360	1796913700	Hypolimnion	6/27/2007	2007	6	27		A
IHWN	7116839	1488046660	Hypolimnion	7/2/2007	2007	7	2		A
IHWG	7400745	1533862767	Hypolimnion	7/12/2007	2007	7	12		A
IHWH	9958688	2174005593	Hypolimnion	7/25/2007	2007	7	25		B
IHUZ	10125002	2143406512	Hypolimnion	7/31/2007	2007	7	31		B
IHSA	6834363	1426065221	Hypolimnion	8/9/2007	2007	8	9		B
IHWA	6241863	1366349514	Hypolimnion	8/20/2007	2007	8	20		B
IHWY	5310084	1116544989	Hypolimnion	8/27/2007	2007	8	27		C
IHWB	5241353	1108252187	Hypolimnion	9/10/2007	2007	9	10		C
IHWU	6177609	1296750406	Hypolimnion	9/17/2007	2007	9	17		C
IHXG	5779147	1230338286	Hypolimnion	10/1/2007	2007	10	1		C
IHXO	6100129	1285584479	Hypolimnion	10/16/2007	2007	10	16		C
IHXN	6434372	1381886862	Hypolimnion	11/5/2007	2007	11	5		C
IHXW	4291617	906676917	Hypolimnion	11/14/2007	2007	11	14		C
IHPY	6990840	1571558807	Hypolimnion	5/22/2008	2008	5	22		A
IHSB	5422624	1165163015	Hypolimnion	5/29/2008	2008	5	29		A
IHWS	2433752	524125272	Hypolimnion	6/13/2008	2008	6	13		A
