Sample,Date
IHPT, 21JUL2009
IHTO,01JUL2008 
IHTY,01OCT2007 
IHUX,02JUL2007 
IHPS,03AUG2009 
IHSW,03JUN2009 
IHSX,04OCT2008 
IHSZ,05AUG2008 
IHTU,05NOV2007 
IHPX,07JUL2009 
IHPI,08JUL2008 
IHSS,08JUN2009 
IHSH,09AUG2007 
IHSP,09SEP2008 
IHXC,11AUG2009 
IHTH,12AUG2008 
IHUY,12JUL2007 
IHPW,13JUL2009 
IHUT,13JUN2007 
IHTI,13JUN2008 
IHTX,14NOV2007 
IHTA,15JUL2008 
IHTW,16OCT2007 
IHSC,17SEP2007 
IHXB,18AUG2009 
IHTF,19AUG2008 
IHSG,20AUG2007 
IHTC,20SEP2008 
IHTB,22JUL2008 
IHTS,22MAY2008 
IHSN,23JUN2009 
IHSO,23OCT2008 
IHTN,24JUN2008 
IHTG,25AUG2008 
IHWZ,25JUL2007 
IHSF,27AUG2007 
IHPP,27JUL2009 
IHWC,27JUN2007 
IHUW,28JUN2007 
IHSY,29JUL2008 
IHSI,29JUN2009 
IHTT,29MAY2008 
IHSU,29MAY2009 
IHTP,30APR2008 
IHPZ,31JUL2007 
