	TBE07Jun07	TBE13Jun07	TBE27Jun07	TBE02Jul07	TBE12Jul07	TBE25Jul07	TBE31Jul07	TBE09Aug07	TBE20Aug07	TBE27Aug07	TBE17Sep07	TBE01Oct07	TBE16Oct07	TBE05Nov07	TBE14Nov07	TBE30Apr08	TBE22May08	TBE29May08	TBE13Jun08	TBE24Jun08	TBE01Jul08	TBE08Jul08	TBE15Jul08	TBE22Jul08	TBE29Jul08	TBE05Aug08	TBE12Aug08	TBE19Aug08	TBE25Aug08	TBE09Sep08	TBE20Sep08	TBE04Oct08	TBE23Oct08	TBE29May09	TBE03Jun09	TBE08Jun09	TBE23Jun09	TBE29Jun09	TBE07Jul09	TBE13Jul09	TBE21Jul09	TBE27Jul09	TBE03Aug09	TBE11Aug09	TBE18Aug09
TE00031|TBL_comb48_EPIDRAFT_1002675	12.9544	3.41948	6.06683	8.58496	10.1011	1.51109	1.62611	9.0214	13.8736	10.4958	39.3266	1.12041	9.16633	27.1774	135.444	12.6292	3.57399	1.54689	10.8539	22.2439	21.7738	2.07347	36.5926	0.857731	34.7202	4.8825	7.80146	30.3593	58.7903	29.8093	23.3557	9.60486	63.7901	26.5858	21.6777	0.375042	11.963	8.90061	7.18412	5.72345	7.66275	4.5669	9.80015	16.1189	11.4646
TE00031|TBL_comb48_EPIDRAFT_1002902	13.855	3.48575	4.91934	8.16755	9.81416	1.53982	1.75699	9.85617	14.6597	12.7409	39.5393	1.1994	10.0002	31.9984	159.917	14.9822	2.98822	1.44108	13.2173	25.2162	25.1763	2.03391	41.3511	1.15189	37.1757	4.97381	9.36012	36.1086	72.1395	33.1906	26.6678	9.72266	66.1968	22.115	19.1934	0.305934	10.665	8.85973	7.31404	4.9585	7.37821	5.13861	9.79729	15.7104	10.8561
TE00031|TBL_comb48_EPIDRAFT_1003765	13.0578	3.30481	4.49599	7.09453	9.89945	1.80129	1.88891	9.82173	15.8037	12.5556	46.0629	1.6622	11.225	34.447	169.318	15.4012	2.86067	1.37257	12.6379	24.9659	25.2329	1.76655	44.6469	1.07556	44.1261	5.54546	9.86937	37.8265	75.6269	37.546	30.2038	10.3322	70.5598	27.6298	23.0536	0.459163	12.4458	10.2367	7.68682	5.94187	8.94273	5.63357	10.8354	18.3326	12.4294
TE00031|TBL_comb48_EPIDRAFT_1004486	12.0078	3.18024	4.85356	7.35404	10.7291	1.80794	1.66686	10.1235	14.5367	12.7504	45.7378	1.65868	12.4242	32.6045	172.548	15.6029	2.59995	1.50288	12.949	26.3829	25.3201	2.31211	46.9513	0.987979	41.9046	4.98952	9.82323	38.1618	73.0236	37.0349	28.0875	10.2319	71.488	27.4515	22.9315	0.193819	12.5739	9.23141	6.41815	6.75297	9.33322	5.94964	11.9352	19.7652	13.9073
TE00031|TBL_comb48_EPIDRAFT_1004630	16.1815	4.22063	5.98287	10.417	11.3686	1.44466	1.8616	12.6006	19.0036	16.1786	48.5683	1.87858	12.8126	40.436	198.872	20.0948	3.97659	1.68872	14.7988	31.2381	28.5386	3.10775	51.6131	1.29474	45.1844	5.88515	10.8256	42.5205	84.6197	42.0245	32.8081	11.2179	81.0097	33.4379	28.3056	0.296596	14.8719	9.85809	8.79486	7.05533	9.41892	6.50096	14.196	18.9665	12.8383
TE00031|TBL_comb48_EPIDRAFT_1004834	13.1266	4.0057	5.54018	8.46306	9.72392	2.12788	1.87509	9.55964	16.4637	12.835	42.1803	1.30553	11.3059	32.6216	170.582	16.0484	3.3932	1.39543	12.5326	26.0304	26.239	2.17609	41.9984	0.701785	41.0671	5.42247	9.65854	37.8274	73.8512	35.3832	28.9738	9.31376	71.2211	27.3793	20.6632	0.333623	11.6262	8.87509	7.56817	6.12599	7.61813	5.20106	11.6706	18.6911	12.3382
TE00031|TBL_comb48_EPIDRAFT_1005216	12.7289	4.403	6.10205	8.41162	10.4471	1.87173	1.48706	9.64803	16.35	14.2705	42.9238	1.63741	11.6874	37.6221	169.965	16.7948	3.45535	1.69892	12.8864	27.0121	25.1838	1.98645	43.8915	0.745213	42.8506	5.23038	11.1397	37.7524	73.7867	36.6712	26.5174	10.2095	73.3281	27.8969	22.5735	0.293519	13.5604	10.3744	7.83679	6.50801	9.15706	5.86816	11.4718	16.3141	12.8265
TE00031|TBL_comb48_EPIDRAFT_1005498	13.8827	3.51012	5.41687	8.17939	10.7	1.98706	1.54027	11.1029	16.2051	13.6501	48.4977	1.10202	11.9865	33.8366	174.204	16.9755	3.21085	1.79317	13.97	25.7358	25.199	1.7834	45.189	0.935527	41.3753	5.31927	10.6907	39.8025	72.08	40.235	29.3676	10.2117	70.5041	27.4001	23.4584	0.288685	13.0726	9.08994	8.041	6.15759	6.53638	6.15644	12.0506	15.4006	11.4179
TE00031|TBL_comb48_EPIDRAFT_1005966	13.4618	3.8825	5.22377	9.28559	10.9491	1.75569	1.66338	10.331	16.4209	12.5299	48.8619	1.65075	12.3	34.2194	173.03	15.9519	3.82343	1.51861	13.0037	26.4783	25.249	2.4408	46.3081	1.20761	43.6968	6.15611	10.4327	41.0096	77.2006	40.2933	29.6445	10.3276	71.9761	31.2569	24.4892	0.424151	14.7796	9.59734	9.24195	7.08752	9.48592	5.77895	12.7041	17.1196	13.1145
TE00031|TBL_comb48_EPIDRAFT_1006038	13.9219	4.03477	5.6379	8.15924	10.3102	1.92487	1.91819	9.28861	15.2439	13.2897	42.5254	1.36902	10.4649	33.1753	170.577	16.3844	2.77811	1.20748	13.9045	25.4665	25.7769	2.16943	47.7869	1.16054	38.8221	5.47601	10.2966	36.7212	77.267	37.9513	26.9759	11.0887	68.3391	26.7319	22.2213	0.434801	12.8546	10.32	7.50007	6.70693	8.74744	5.93335	11.9353	16.9449	12.4443
TE00031|TBL_comb48_EPIDRAFT_1006250	16.5937	5.45045	9.47791	13.1533	15.404	2.56723	1.67212	13.221	19.6745	15.7842	55.3624	2.27328	12.6934	38.6624	187.639	19.9971	4.116	1.83414	15.7887	29.1189	29.2802	2.20239	49.051	0.935036	50.4516	7.84791	11.6256	42.9569	83.0948	40.458	31.307	12.6077	89.7311	37.0195	33.4893	0.675831	18.8624	12.9129	9.73321	9.71654	11.3598	6.60704	15.4486	22.2419	16.9875
TE00031|TBL_comb48_EPIDRAFT_1006296	13.0106	3.10844	5.58866	7.45143	9.70259	1.42758	1.54035	8.9337	14.4559	11.2829	41.5178	1.51189	8.74744	31.607	162.321	17.0052	3.46994	1.66001	12.9778	22.7004	24.4735	1.9261	41.063	0.870532	36.7518	4.55801	8.1698	35.4063	70.601	33.1122	24.055	9.53788	66.9102	25.1136	20.7247	0.123831	11.7112	8.73714	6.62999	6.37083	7.14472	5.19003	9.6225	16.2569	11.5658
TE00031|TBL_comb48_EPIDRAFT_1006472	11.1577	4.53264	7.04166	10.1435	9.95717	1.81504	2.213	9.35307	13.7695	11.7437	42.1501	1.47248	9.8322	30.1609	135.238	12.2154	3.17184	1.59559	10.8958	22.8263	22.3904	2.04954	35.2423	1.09553	39.906	6.14536	9.03687	34.0578	60.9958	30.2902	25.3818	9.85137	66.9446	29.0185	24.9992	0.396392	14.1494	9.09308	6.5835	7.43668	9.34039	5.58393	10.9719	16.746	11.5665
TE00031|TBL_comb48_EPIDRAFT_1006649	17.2998	4.86317	9.00757	13.8087	15.1178	3.03457	1.93649	13.6635	20.2308	16.4955	57.4009	2.05613	12.1636	39.4561	194.423	17.4369	4.78195	1.57147	15.4446	31.6054	29.4	2.3065	49.9279	1.13062	54.6253	7.73145	11.4497	44.73	82.3882	42.9903	32.2102	11.6002	87.4324	37.0355	33.5815	0.934302	20.0079	13.1942	10.7852	10.3953	12.5371	7.02496	14.3782	22.8799	16.806
TE00031|TBL_comb48_EPIDRAFT_1006913	18.6923	4.19341	5.64082	9.03883	11.4772	1.98463	1.7837	11.8408	16.0712	13.4519	46.3562	2.23438	10.3914	38.9438	197.115	30.2684	7.24492	2.61197	19.2279	28.8965	29.9692	3.08246	48.2567	0.81775	40.3966	6.08708	10.6447	46.6801	82.8194	40.6474	30.9505	12.269	88.5006	31.9743	25.8626	0.378927	15.9744	11.4705	8.61347	8.06003	9.19801	6.19371	14.8221	19.6475	12.5506
TE00031|TBL_comb48_EPIDRAFT_1006975	16.8553	4.26968	6.90402	10.405	12.1239	2.06148	2.06857	12.2806	19.0493	15.1623	54.3075	1.39289	12.8866	40.7447	207.89	21.6767	4.19872	1.89632	15.4444	31.6769	30.9538	2.25654	49.5774	1.09815	49.5655	5.7738	12.1298	45.7436	87.3256	43.2628	31.9064	12.4613	85.8959	34.7217	29.3742	0.272336	15.8974	10.6061	8.28697	6.60287	9.75271	6.92973	13.6763	20.7523	13.1299
TE00031|TBL_comb48_EPIDRAFT_1007016	13.1404	3.36442	5.67115	8.69247	10.5559	1.8016	1.29299	10.7193	14.8775	14.2662	42.8818	0.968466	11.0448	35.7323	179.277	17.2072	3.70546	1.53131	15.4809	27.3795	26.1549	1.99872	47.1337	1.04478	39.5216	5.27832	9.73647	40.4586	76.7628	38.8891	29.5249	11.3775	73.9422	28.2243	22.4476	0.330024	14.0022	8.70967	7.99616	5.54051	8.0024	4.00191	12.1085	16.1568	13.5068
TE00031|TBL_comb48_EPIDRAFT_1007064	14.7792	3.73898	5.42241	9.05373	11.1277	2.06401	1.4947	10.81	18.595	14.362	49.0199	1.97805	11.3259	37.1025	191.709	17.2214	4.23881	1.18451	14.0592	28.3848	25.818	1.82389	49.005	1.05647	44.8501	5.89634	12.1318	44.7204	80.6624	38.7931	32.1609	11.8191	80.5385	29.5209	25.5072	0.149162	15.1345	9.07945	7.48134	7.29598	8.78246	5.71268	12.5873	19.0856	13.095
TE00031|TBL_comb48_EPIDRAFT_1007119	14.8102	4.47265	6.5293	10.3193	10.8663	1.60495	2.22997	11.4645	17.6638	13.2441	50.0021	1.83682	11.5566	37.5047	192.229	18.2322	4.35168	2.05722	14.8574	28.6212	27.6152	2.6507	50.9271	0.77111	46.3226	6.40158	12.8126	41.4819	84.0874	37.8091	30.7531	11.6234	84.3183	30.4694	27.5636	0.310496	15.9006	10.7248	9.7352	8.81442	9.30275	5.39154	13.7881	19.0454	12.9258
TE00031|TBL_comb48_EPIDRAFT_1007220	14.6791	3.62112	4.97175	7.79618	10.1067	1.87684	1.64223	10.2068	15.6382	11.9606	42.9831	1.60383	9.73761	32.4987	170.42	16.9083	3.55276	1.47431	14.4099	24.6443	23.8436	2.47159	44.3872	0.997226	41.3253	5.46348	10.9134	38.4914	71.0096	34.5409	27.8475	9.80163	69.9798	26.7883	20.6276	0.259477	13.1107	9.45791	7.63169	6.30414	8.60577	4.70205	11.4724	16.9744	12.4167
TE00031|TBL_comb48_EPIDRAFT_1007596	16.6182	4.35063	5.09447	8.2822	10.2928	1.34226	1.56734	10.5928	15.7646	12.8871	44.3645	1.37665	9.29099	32.1053	179.379	20.8491	4.38531	1.58325	15.1891	24.608	27.0053	2.20743	46.201	1.02847	39.0724	4.72706	10.7583	40.4836	76.6954	39.8655	30.616	9.29905	77.2904	25.519	22.4364	0.265105	12.6894	10.4431	7.64492	5.42293	8.16621	6.48867	12.0239	17.2009	12.448
TE00031|TBL_comb48_EPIDRAFT_1008033	12.7603	3.25705	4.97162	8.01902	11.2639	2.09982	1.34265	10.681	15.8727	15.1407	44.0661	1.65586	10.8045	36.1611	178.429	14.8524	3.45451	1.67018	14.2112	27.195	25.4251	2.0326	47.4526	1.17858	42.9257	5.64726	10.1947	39.4481	77.7046	39.2419	29.1431	10.6731	69.9086	28.1949	23.6125	0.291887	12.8804	9.31056	7.75273	6.83949	9.07316	5.86349	12.2687	16.2056	11.3414
TE00031|TBL_comb48_EPIDRAFT_1008192	17.8877	4.13959	5.39174	8.85099	11.2783	1.3756	1.32388	8.93566	15.6134	13.8778	44.8684	1.5586	9.10302	34.8596	176.376	26.2068	6.21445	1.98612	16.5318	24.5994	26.7131	2.16127	41.4969	1.11024	36.7749	5.18312	9.56802	36.6221	72.9242	34.9195	26.8415	8.72191	79.6865	32.1331	26.6364	0.445339	16.1422	10.5792	9.06503	6.64381	9.29099	6.31527	14.5381	20.0252	13.2321
TE00031|TBL_comb48_EPIDRAFT_1008435	14.2956	3.14548	5.0745	8.62814	9.65502	1.7631	1.63681	9.6496	15.8788	12.1065	45.3639	1.81232	10.7123	32.4249	180.207	18.0443	4.40197	1.55856	14.1578	26.6733	26.4297	2.30965	45.5385	0.722789	42.6478	5.97345	11.1475	42.3063	76.3379	37.4195	28.8077	9.63592	74.52	28.5602	24.9271	0.263215	12.3041	9.25691	8.06735	5.26137	7.62632	5.54285	11.9518	16.9212	10.8337
TE00031|TBL_comb48_EPIDRAFT_1008796	15.3312	4.78777	6.13441	11.0651	11.2903	1.61785	1.66523	11.2902	18.5454	12.6323	46.7308	1.88314	11.4195	37.7898	184.004	18.4512	3.6154	1.42985	13.7102	28.2844	27.5106	2.47043	47.2678	0.888201	43.8077	5.17688	11.1922	42.5093	82.2076	37.0737	29.2704	11.7514	78.286	30.4815	25.892	0.385685	15.6404	10.1914	9.48115	7.32802	9.16576	6.73807	12.5798	20.168	13.3343
TE00031|TBL_comb48_EPIDRAFT_1009303	16.2249	3.81567	5.3545	8.64715	9.42885	1.81464	1.46531	11.4597	17.1828	11.4566	47.0242	1.97136	10.2972	33.131	183.475	15.5716	5.47148	2.10723	15.3633	24.6323	25.7567	1.69097	51.7166	0.950264	39.1105	4.86446	10.3008	42.3898	75.9459	35.2954	29.3289	11.0458	73.6752	27.1505	22.7669	0.22122	14.2045	9.3394	8.38809	6.36099	8.80567	4.98399	12.1043	17.5927	13.0182
TE00031|TBL_comb48_EPIDRAFT_1009360	17.658	3.37812	5.02578	9.01534	10.4114	1.97169	2.35348	8.74701	15.6444	12.3923	44.2724	1.51477	9.97033	36.1329	184.9	26.1177	5.49025	1.56981	17.2389	27.8177	27.2129	2.98485	48.7124	0.87532	40.9202	5.05048	9.6288	41.9605	76.6229	38.2494	28.3429	10.5571	76.8465	27.3179	21.492	0.384873	12.4439	10.8172	7.42832	5.56494	8.30846	5.59384	11.6143	19.3179	12.8319
TE00031|TBL_comb48_EPIDRAFT_1009577	15.4325	4.22249	6.6997	9.62587	11.0746	2.1804	1.58458	9.58332	16.5449	15.7005	46.4399	1.43893	10.9068	33.1082	174.341	18.9448	3.17609	1.86404	13.6262	27.085	25.3166	2.47353	46.3765	0.942504	39.5845	5.22652	10.6724	37.9556	77.4683	36.4501	28.251	10.8791	75.4014	28.9314	24.1243	0.39752	15.2934	9.64099	7.76702	6.34231	8.46163	5.39658	11.929	17.7274	13.4363
TE00031|TBL_comb48_EPIDRAFT_1009882	14.5044	3.45278	4.27116	9.16629	10.3822	1.98874	1.97568	10.992	16.8583	13.1851	47.01	1.43573	10.488	32.5389	176.322	17.6737	3.8983	2.14557	14.615	24.6879	26.0168	1.98258	44.8812	0.789883	44.5089	5.92268	11.1675	38.993	76.2257	35.7666	28.716	10.4176	77.6665	31.5484	24.0767	0.326564	14.6224	10.367	8.71247	7.48332	8.56921	6.62589	11.6429	18.4151	13.9209
TE00031|TBL_comb48_EPIDRAFT_1010201	12.6449	3.70124	5.1193	7.56118	9.37927	1.83407	1.97634	9.42938	16.4437	12.2474	44.3567	1.75391	9.46047	33.6202	170.435	19.695	3.56777	1.10048	14.1867	25.08	25.4659	2.3995	44.8124	1.18132	40.254	5.18047	10.2487	36.8221	77.2399	37.2798	28.3771	9.28571	69.5606	25.5293	21.4757	0.692663	11.8825	8.66813	6.97272	5.82114	6.85397	4.97091	11.7557	16.7027	11.7461
TE00031|TBL_comb48_EPIDRAFT_1010432	13.6631	3.3297	5.94824	9.00406	11.9479	2.41615	1.90126	11.0087	17.9136	13.8999	49.2334	2.08842	12.0053	37.7813	191.574	20.3707	3.46287	2.42268	14.964	29.9835	28.4499	1.91422	47.5387	0.773883	44.198	5.90459	11.5918	44.1412	81.6603	38.041	32.7304	12.1053	79.6421	34.1698	27.1284	0.273817	14.4888	9.63704	8.78072	6.97801	11.0813	6.25954	13.7713	17.5924	13.5549
TE00031|TBL_comb48_EPIDRAFT_1010438	19.4215	3.92021	6.81425	10.5604	11.7452	2.48023	1.64242	14.8574	19.1308	13.7986	53.1837	2.06315	11.9765	42.8657	218.422	23.8273	4.76665	2.17834	19.5725	31.2277	32.5692	3.26257	51.9599	1.00877	48.6391	6.63741	11.5669	47.0553	90.5938	44.1503	31.428	12.7247	91.2627	31.4283	27.2411	0.337546	16.0681	11.125	8.483	8.17539	10.5426	6.09039	15.1769	20.7615	13.2702
TE00031|TBL_comb48_EPIDRAFT_1010848	17.1764	4.17133	6.90835	11.3522	12.1736	2.30935	2.29453	11.9364	18.1505	17.3852	54.3876	2.0534	11.9417	40.7869	198.653	19.1835	3.95217	2.30186	16.5817	31.7288	30.4953	3.06764	52.0818	1.04689	47.8512	6.39261	12.2492	46.3063	85.8497	44.4568	31.7732	12.4895	86.6959	35.6838	31.387	0.521279	17.5667	12.686	10.672	8.3433	10.345	7.05245	15.8661	22.6968	15.1182
TE00031|TBL_comb48_EPIDRAFT_1010939	14.8361	4.56258	4.81905	10.5745	10.7463	2.38004	1.62196	10.1672	16.0926	12.6085	45.9299	1.6438	10.6961	33.5578	177.249	19.2447	4.23145	1.65806	14.3798	26.4601	26.0107	2.11434	49.384	1.06588	42.3678	6.01684	10.6075	37.8131	75.8153	37.367	26.6147	12.2257	79.1971	27.3882	22.8387	0.244889	14.6588	11.5703	8.49046	8.041	9	6.1349	11.8664	17.959	12.1329
TE00031|TBL_comb48_EPIDRAFT_1011138	13.1749	4.52813	7.9498	12.4678	13.3446	2.00742	1.47778	11.5455	18.9019	14.1889	48.5402	1.86449	12.5162	35.9023	159.615	15.1698	3.7464	1.70076	14.4427	26.3108	26.8274	2.46803	45.271	0.766307	50.063	7.9708	10.2358	36.9461	75.3323	33.2691	28.5918	11.1293	79.212	33.3298	27.4173	0.574358	17.5159	10.826	8.81511	9.6036	9.86304	5.08924	11.2189	19.3343	14.434
TE00031|TBL_comb48_EPIDRAFT_1011175	14.5094	3.59752	5.77507	10.9781	10.6317	1.50361	1.64138	12.4399	16.2658	13.4152	45.43	1.93091	11.3463	33.657	177.925	16.793	3.86625	1.39537	15.1618	27.6875	26.9144	2.35298	46.8404	1.01963	47.8345	6.72893	10.8636	40.7615	76.5822	36.6709	29.8436	10.7567	80.5124	30.9075	26.8559	0.347197	14.5043	10.6969	8.36485	7.50496	10.8264	5.89361	12.6517	19.4274	15.4793
TE00031|TBL_comb48_EPIDRAFT_1011429	17.1672	5.15866	7.80791	10.0729	13.2532	1.5224	1.64756	13.6655	19.6983	17.1798	54.0857	1.44528	13.591	40.8121	192.274	19.8879	3.99655	1.68511	16.1598	32.59	27.9699	2.69036	52.7625	1.10963	49.6357	7.42231	12.3369	41.7431	87.8116	43.3968	32.6241	12.2603	89.6008	37.7464	30.5291	0.40548	17.6054	12.3538	8.82763	7.84432	10.9124	7.59725	15.2152	21.425	15.6713
TE00031|TBL_comb48_EPIDRAFT_1011659	13.6714	3.44756	3.87731	7.02101	10.2576	2.05648	1.49196	9.24412	16.8306	14.8127	40.6083	1.55883	10.6688	34.0137	164.795	16.4969	3.12205	1.40511	11.7952	25.0238	25.4709	2.02968	42.5643	0.785898	40.4457	4.57892	9.01118	39.4055	72.6681	35.9571	28.1855	9.78296	68.2562	27.2756	21.2766	0.185731	11.8453	8.14469	7.69577	5.73921	7.87019	4.36141	10.384	15.7792	11.3568
TE00031|TBL_comb48_EPIDRAFT_1011671	18.0363	4.18957	9.0739	13.0523	12.322	2.28491	2.58904	14.2934	18.1168	16.5882	52.4498	2.83326	12.0285	38.7516	195.103	23.5485	5.04726	1.90632	15.8001	28.7762	29.7922	2.91698	52.318	0.994159	49.3207	7.33178	12.0366	43.1245	83.3917	42.4631	31.6592	11.3879	95.2686	34.323	30.4846	0.611189	19.5574	11.5553	10.2423	8.50794	10.0208	6.33302	15.1223	22.4197	16.5336
TE00031|TBL_comb48_EPIDRAFT_1011846	16.0238	4.39286	5.94013	10.5355	9.59759	1.35326	1.91887	10.1963	16.3657	11.6088	44.2735	1.62547	10.1915	33.2902	173.014	16.934	4.00829	1.87723	13.4025	25.1028	24.7978	1.91079	46.1126	0.85792	43.8461	5.37488	10.087	41.2881	77.2695	35.661	26.4165	10.7689	74.1355	31.1628	26.8286	0.145429	14.2638	10.0773	9.23522	6.49244	9.86008	6.26956	13.214	19.1411	14.0949
TE00031|TBL_comb48_EPIDRAFT_1011865	13.4556	3.97892	5.11324	8.04639	10.1438	1.14147	1.62361	9.6426	15.4928	13.0137	41.0369	1.53752	10.6505	31.4207	166.156	14.0288	2.93269	1.26748	13.1167	24.4043	25.4191	2.3665	42.0038	1.2045	37.5431	5.35334	8.28888	38.048	79.14	38.1586	27.3471	9.3111	69.5023	28.7899	22.4468	0.302585	13.5717	7.903	7.66698	5.81532	8.11694	4.85893	12.8756	15.5183	11.9029
TE00031|TBL_comb48_EPIDRAFT_1011870	13.9651	3.60664	5.0256	8.36357	9.75	2.04901	1.78733	9.90061	16.0501	13.0831	46.6255	0.917373	11.7158	35.1244	176.624	17.0491	3.78605	1.21442	12.9623	23.4837	27.314	2.14699	47.8912	0.941971	42.4193	5.7299	10.9735	40.0435	79.3042	37.7132	31.9948	9.94318	73.0436	27.9086	21.3314	0.130992	12.9061	7.79474	6.64069	6.19214	8.27376	5.73466	11.9827	16.7332	13.009
TE00031|TBL_comb48_EPIDRAFT_1011916	14.8388	3.851	5.08749	9.16603	10.3179	1.86016	1.3237	10.2232	16.1126	13.5035	46.0453	1.27195	11.2738	36.7013	167.786	16.3993	3.19672	1.73653	12.7084	25.0784	25.4779	2.12054	46.3538	1.06746	41.4581	6.07756	10.9119	40.7146	77.7863	38.7494	29.9311	11.439	72.5594	27.0055	24.1387	0.216802	11.7508	10.4368	8.52114	7.00949	8.05595	6.56652	11.5026	16.2149	10.2632
TE00031|TBL_comb48_EPIDRAFT_1012214	14.1601	4.28921	5.27917	8.8757	10.2134	1.28748	1.96036	10.6986	14.838	11.6792	43.6458	1.34963	10.3696	32.9615	181.289	18.849	4.22228	1.95806	13.5037	24.3618	27.0504	1.67427	46.7502	0.74267	37.7943	5.98089	9.41701	40.0082	76.5874	34.3919	27.2992	10.3144	72.0732	25.1606	21.7175	0.151493	12.268	8.94502	8.09111	5.43985	7.67836	5.56605	10.6461	16.1192	11.7557
TE00031|TBL_comb48_EPIDRAFT_1012308	16.0951	3.76664	6.4223	9.40068	13.0224	1.58246	1.73474	10.5378	18.3972	14.8628	47.8559	1.22306	12.4858	38.4833	195.223	18.5434	3.6805	1.40509	14.5901	30.377	28.6313	2.2403	50.7266	1.39093	45.5366	5.69871	11.852	41.7816	85.0412	40.1475	32.0127	12.2012	78.457	31.0957	25.5604	0.194872	15.0124	9.54105	9.67122	5.83857	9.39115	6.53	11.9362	18.1445	12.1698
TE00031|TBL_comb48_EPIDRAFT_1012411	13.5615	2.98799	4.19956	7.59882	7.64064	2.35545	1.14122	9.07005	15.0396	9.60307	43.6337	1.53638	8.60925	27.6439	137.424	12.7902	3.05666	1.92765	12.6079	20.7651	18.693	1.45036	36.7587	0.914034	37.0759	4.08829	8.78632	32.2882	54.5139	29.9276	20.1737	9.37283	59.8829	25.3655	21.194	0.392883	11.4451	8.66487	7.86236	6.45217	7.80054	5.04223	10.7198	16.8027	13.6126
TE00031|TBL_comb48_EPIDRAFT_1012560	12.8365	3.73251	5.43779	8.00568	12.2144	1.10151	1.54523	10.7634	15.67	12.5609	45.0246	1.87749	11.1222	37.9931	173.842	16.4504	3.95744	1.77906	14.5764	26.5451	24.8176	2.44051	45.0285	1.03361	41.937	5.37528	9.46957	38.8025	75.9481	36.2859	29.2536	9.19956	71.3993	28.3729	21.7461	0.322109	14.2925	9.53915	8.64443	5.02641	7.43625	5.48165	13.7275	17.1106	13.0318
TE00031|TBL_comb48_EPIDRAFT_1012695	15.5143	3.85547	7.68362	11.8466	12.3465	2.12821	2.31602	11.4986	18.4745	16.1588	54.7993	1.86291	12.8918	43.0599	207.287	19.1132	4.16338	1.99034	14.7602	30.3651	30.6364	2.71827	55.2027	1.21196	49.1886	7.94181	11.9218	47.1601	82.0578	43.2982	31.9768	11.6886	86.625	36.1782	25.9923	0.442476	16.5031	11.0418	9.11955	6.64942	10.9575	6.94267	14.0448	22.2372	15.4149
TE00031|TBL_comb48_EPIDRAFT_1012760	12.8864	3.98825	9.11956	11.4618	12.3541	1.82093	1.98604	10.4504	15.5958	8.66426	46.3359	1.67502	9.0971	27.5918	151.648	18.9402	5.22122	1.87997	12.6995	23.7044	25.6758	2.21836	38.786	0.918291	41.1716	6.36352	9.99153	36.0239	67.1268	31.1758	25.6162	11.2785	71.1545	31.6186	27.0896	0.336505	16.7706	12.3022	9.37156	9.55991	8.1793	6.34811	13.9626	21.1116	13.5943
TE00031|TBL_comb48_EPIDRAFT_1013032	14.3544	2.95421	5.28175	8.50572	10.9715	1.22541	1.57875	9.52192	16.1977	11.3358	41.9737	1.68932	11.1796	32.4712	176.65	17.6411	3.53425	0.793932	13.5662	25.5634	25.1043	1.92644	45.3705	1.0028	40.3717	5.27215	11.2446	38.2647	73.4105	34.9443	27.7113	10.5629	67.4968	24.1461	22.5213	0.206624	13.5697	9.36417	6.87668	5.82982	8.06166	6.60654	10.4313	18.0747	11.6737
TE00031|TBL_comb48_EPIDRAFT_1013082	13.7117	3.45981	4.78121	8.0709	9.48713	1.86949	1.60799	9.57281	17.1392	13.6594	45.4487	2.10514	10.9908	32.7325	177.99	18.0384	3.03704	1.07837	13.7834	22.7302	27.0046	2.45647	42.3409	0.75848	38.4247	5.80418	9.11213	39.9043	76.7748	40.0212	28.4981	9.07928	72.173	27.5672	19.5773	0.137235	13.338	10.298	7.60316	6.93299	8.35429	5.94689	12.908	16.1088	10.7447
TE00031|TBL_comb48_EPIDRAFT_1013151	13.5894	4.03562	6.85744	10.4803	11.6493	1.66539	1.69775	9.93415	14.1759	11.6686	40.5135	1.32545	8.64944	26.7628	136.646	14.1044	2.95126	2.01758	12.9513	23.2623	24.0123	1.72769	36.202	0.560195	38.2831	5.93197	8.07891	31.5493	61.1751	30.2251	24.9933	8.71659	69.1512	28.8292	23.0408	0.451489	15.7881	9.55658	7.48386	7.65609	8.62628	5.49438	9.64099	17.2977	12.626
TE00031|TBL_comb48_EPIDRAFT_1013261	14.4156	3.45023	6.41073	8.76856	9.37919	1.47991	1.65013	10.4746	16.6217	12.971	44.1874	2.19022	10.7454	32.3274	171.741	18.2646	3.72586	1.50974	14.3397	26.4314	27.6645	2.06605	42.2541	0.830155	41.9353	5.83505	8.62333	37.3122	73.2376	38.3004	30.2207	11.1394	68.8296	28.1435	22.707	0.433368	13.6224	9.39464	7.63428	5.55201	8.32613	5.40164	12.0095	16.5878	11.6384
TE00031|TBL_comb48_EPIDRAFT_1013446	12.4166	2.96895	3.97233	6.80626	9.32239	2.04795	1.83485	8.12133	13.8977	10.2571	36.9624	1.07356	11.006	29.6115	150.788	15.9883	3.30347	1.26368	12.273	23.8579	23.1591	1.50457	38.9288	0.905345	39.8662	4.32179	9.72966	32.2407	71.4156	35.2237	25.8461	9.29789	65.3277	24.9672	22.1405	0.442383	13.0297	7.8577	7.77523	6.16515	7.32605	4.92024	10.2753	14.4251	11.3136
