	TBE07Jun07	TBE13Jun07	TBE27Jun07	TBE02Jul07	TBE12Jul07	TBE25Jul07	TBE31Jul07	TBE09Aug07	TBE20Aug07	TBE27Aug07	TBE17Sep07	TBE01Oct07	TBE16Oct07	TBE05Nov07	TBE14Nov07	TBE30Apr08	TBE22May08	TBE29May08	TBE13Jun08	TBE24Jun08	TBE01Jul08	TBE08Jul08	TBE15Jul08	TBE22Jul08	TBE29Jul08	TBE05Aug08	TBE12Aug08	TBE19Aug08	TBE25Aug08	TBE09Sep08	TBE20Sep08	TBE04Oct08	TBE23Oct08	TBE29May09	TBE03Jun09	TBE08Jun09	TBE23Jun09	TBE29Jun09	TBE07Jul09	TBE13Jul09	TBE21Jul09	TBE27Jul09	TBE03Aug09	TBE11Aug09	TBE18Aug09
TE01196|TBL_comb48_EPIDRAFT_1016803	1.65062	2.29578	6.53432	10.1965	10.572	0.484601	0.357367	4.73137	4.54266	5.44086	5.38646	0.58796	2.25	7.2798	21.2842	1.60276	0.102394	0	1.63571	3.75346	5.74512	0.640743	7.36483	0.468239	26.5601	7.86911	1.18672	4.39994	10.6606	3.7939	2.25142	3.64676	16.8977	0.813639	1.21424	0	3.43256	3.89786	4.17107	1.80528	0.0486198	0.0482154	0.114008	0.13105	0.511606
TE01196|TBL_comb48_EPIDRAFT_1016903	2.85459	2.38204	6.66203	11.4358	11.0897	0.191725	0.536862	5.34833	4.80675	5.8261	5.18339	1.25329	1.80051	9.34868	20.4132	1.65302	0.607663	0	2.80075	3.40171	6.76724	0.832278	6.76164	0.458913	29.286	8.03123	0.754723	5.32282	10.3282	3.97121	4.45889	3.06254	18.8501	0.881554	1.95377	0.316857	3.74811	4.98168	4.51327	2.22633	0.0621059	0.0752045	0.247475	0.422299	1.0123
TE01196|TBL_comb48_EPIDRAFT_1016938	2.43127	1.98068	4.96228	10.0956	9.31984	0.399557	0.279268	4.56224	4.55447	4.74268	4.56452	0.557614	1.67436	9.45469	19.9423	1.19962	0.245163	0.0603584	2.16399	2.9981	5.57745	0.584469	5.85008	0.472934	24.4324	7.01485	1.26332	3.46637	10.0212	4.12911	2.96642	2.8124	18.5502	1.12749	1.09356	0.168201	3.07862	3.646	3.69104	2.68132	0.155352	0.126064	0.269365	0.406833	0.535523
TE01196|TBL_comb48_EPIDRAFT_1017068	2.92688	2.63819	6.2236	9.68175	9.46132	0.40433	0.531597	5.99524	3.87925	4.81585	4.6831	0.894155	2.01941	7.32221	23.0402	1.20152	0.301309	0	2.67564	4.35521	5.32611	0.657416	5.14992	0.315706	27.5912	5.75644	1.46081	3.49126	11.1962	4.19489	3.7555	2.36899	16.2553	0.851321	1.84807	0.0645161	2.56466	4.31168	2.8662	2.2714	0.0524309	0.186806	0.0699968	0.309456	0.663489
TE01196|TBL_comb48_EPIDRAFT_1017295	3.03198	2.04412	6.68579	10.5935	10.1959	0.416211	0.437279	4.80519	4.16404	5.38168	4.7121	0.552506	2.23497	9.10883	19.6375	1.605	0.310545	0.0450623	2.09088	3.62247	6.72721	0.726394	6.42619	0.31767	27.4601	7.87954	0.856364	4.15506	10.2369	4.55878	3.17359	3.24413	19.6512	0.949501	1.89713	0.251049	4.07191	3.5423	4.08207	1.37126	0.499518	0	0.227901	0.260212	0.563724
TE01196|TBL_comb48_EPIDRAFT_1017361	3.01988	3.22086	6.31405	10.0616	10.4611	0.58723	0.488903	5.24285	4.11297	4.60963	3.49888	0.49344	1.33065	8.56646	22.1403	1.13308	0.379243	0	1.58422	3.28913	5.02519	0.866236	6.9634	0.534366	30.6775	8.6277	1.30023	3.71484	12.1502	4.21846	4.56603	2.59497	18.5941	0.711383	2.24087	0.289227	3.43515	4.99581	5.77606	2.82501	0.0627615	0	0.343216	0.0970655	0.654651
TE01196|TBL_comb48_EPIDRAFT_1017479	2.32903	1.80604	4.56762	9.87987	10.0062	0.574302	0.286084	3.67809	5.19139	5.36628	3.8915	0.688667	1.84792	6.14313	19.7469	1.42335	0.256018	0	1.61265	3.84643	6.32424	0.260078	5.06589	0.0571429	26.5401	6.59883	1.4447	2.54987	9.62581	4.3509	2.67641	3.46593	18.2063	0.935756	1.01431	0.0976562	3.60654	4.33842	3.45195	1.6751	0.407383	0.155785	0.395266	0.361454	0.547927
TE01196|TBL_comb48_EPIDRAFT_1018707	2.75085	2.42252	4.76706	9.03648	8.22215	0	0.334362	4.93836	2.9324	5.26934	3.43656	0.307299	1.91993	8.4269	21.7603	1.48115	0.33931	0	2.11491	2.68204	4.85262	0.559959	7.48323	0.60117	28.3455	7.99004	1.15182	4.6256	12.3856	4.82029	3.12225	3.28232	17.5131	0.69945	1.51138	0.212905	2.72821	3.88033	4.62663	2.3646	0.159918	0	0.216838	0.155433	0.505491
TE01196|TBL_comb48_EPIDRAFT_1018714	2.22393	1.98553	5.41606	7.50224	7.55384	0.177503	0.204803	3.67831	3.24614	4.41801	3.8219	0.331286	2.10003	7.6622	19.3625	1.33665	0.265954	0	2.13206	2.59036	3.45126	0.65736	3.95926	0.129432	22.1226	6.75163	1.11587	3.70031	8.28301	4.07627	3.75508	1.88717	14.1492	0.483316	1.73853	0.0141526	2.20391	3.64362	4.07986	1.7298	0.267422	0	0.353042	0.211214	0.312393
TE01196|TBL_comb48_EPIDRAFT_1018940	2.16718	2.52976	5.81888	9.37774	9.13173	0.573862	0.19688	4.04534	3.91988	4.59599	4.66598	0.621165	2.12053	7.24835	19.5246	1.45653	0.111189	0	1.33598	2.72452	5.17021	0.561825	3.99239	0.166609	22.1208	6.69594	1.19189	3.24072	11.4974	3.24561	3.61121	2.51755	17.2276	0.695169	1.2161	0.0565051	3.02428	4.67466	3.8327	1.92949	0.0631287	0.115957	0.284821	0.337852	0.490808
