"","2007-05-28","2007-06-07","2007-06-13","2007-06-27","2007-07-02","2007-07-12","2007-07-25","2007-07-31","2007-08-09","2007-08-20","2007-08-27","2007-09-10","2007-09-17","2007-10-01","2007-10-16","2007-11-05","2007-11-14","2008-05-22","2008-05-29","2008-06-13","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-25","2008-09-09","2008-09-20","2008-10-04","2008-10-23","2009-05-29","2009-06-03","2009-06-15","2009-06-23","2009-06-29","2009-07-07","2009-07-13","2009-07-21","2009-07-27","2009-08-03","2009-08-11","2009-08-18"
"2582859112",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,10,0,9,1,2,2,6,8,3
"2582858944",0,0,3,0,0,0,0,0,84,0,0,0,0,0,0,0,0,13,48,0,0,0,0,0,0,0,0,0,0,0,35,0,120,0,108,0,168,60,209,92,16,100,68,146,52
"2582858943",0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0,0,0,31,0,95,0,60,0,125,47,188,98,21,143,106,143,39
"2582980088",0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,32,35,0,0,0,0,0,0,0,0,0,0,0,5,0,24,0,57,0,45,20,29,19,6,24,20,12,14
"2582980087",0,0,9,0,0,0,0,0,32,0,0,0,0,0,0,0,0,49,73,0,0,0,0,0,0,0,0,0,0,0,10,0,43,0,74,0,57,19,32,16,7,29,26,21,18
"2582980086",0,0,13,0,0,0,0,0,42,0,0,0,0,0,0,0,0,66,77,0,0,0,0,0,0,0,0,0,0,0,13,0,53,0,131,0,103,28,43,32,14,50,36,30,31
"2582979757",0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,32,0,18,12,8,7,4,12,5,6,8
"2595247635",0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,21,0,14,7,16,8,1,9,9,2,3
"2595259764",0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,21,0,14,7,16,8,1,9,9,2,3
"2582842071",0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,33,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,46,0,44,19,27,32,6,22,32,10,18
"2582840403",0,0,20,0,0,0,0,0,64,0,0,0,0,0,0,0,0,88,101,0,0,0,0,0,0,0,0,0,0,0,17,0,62,0,163,0,126,42,64,44,17,65,51,40,40
"2582840264",0,0,39,0,0,0,0,0,34,0,0,0,0,0,0,0,0,44,67,0,0,0,0,0,0,0,0,0,0,0,11,0,35,0,90,0,78,53,46,51,19,34,49,15,34
"2582840251",0,0,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,35,17,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,53,0,35,34,21,19,4,28,26,11,16
"2582840171",0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,30,0,12,3,6,7,1,6,9,4,7
"2582844456",0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,12,0,10,10,232,7,5,2,3,2,16
"2582855810",0,0,37,0,0,0,0,0,137,0,0,0,0,0,0,0,0,74,65,0,0,0,0,0,0,0,0,0,0,0,18,0,60,0,94,0,34,18,21,9,7,41,27,22,9
"2582855734",0,0,42,0,0,0,0,0,209,0,0,0,0,0,0,0,0,97,70,0,0,0,0,0,0,0,0,0,0,0,26,0,90,0,144,0,49,24,22,21,7,48,50,29,12
"2582855171",0,0,25,0,0,0,0,0,118,0,0,0,0,0,0,0,0,79,74,0,0,0,0,0,0,0,0,0,0,0,18,0,55,0,75,0,39,8,22,16,6,35,27,18,12
"2582854751",0,0,12,0,0,0,0,0,72,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,27,0,12,5,6,7,0,14,15,3,4
"2582886163",0,0,19,0,0,0,0,0,62,0,0,0,0,0,0,0,0,89,98,0,0,0,0,0,0,0,0,0,0,0,18,0,63,0,165,0,117,37,62,47,17,62,50,39,41
