"V1","V3","annotation"
"TIGR01473_sample1","TB_epi","protoheme_IX_farnesyltransferase"
"malonyl_CoA_reductase_alignment_sample1","TB_epi","malonyl-CoA-reductase"
"TIGR02374_sample1","TB_epi","nitrite_reductase"
"TIGR02912_sample1","TB_hypo","sulfite_reductase"
"TIGR01432_sample1","TB_hypo","cytochrome_aa3_quinol_oxidase"
"norC_alignment_sample1","TB_hypo","nitric_oxide_reductase"
"TIGR00316_sample1","TB_hypo","carbon_monoxide_dehydrogenase"
"sor_PF07682_full_stockholm_sample1","TB_hypo","sulfur_oxygenase_reductase"
"TIGR02061_sample1","TB_hypo","adenylylsulfate_reductase"
"TIGR03120_sample1","TB_hypo","methenyltetrahydromethanopterin_cyclohydrolase"
"TIGR03119_sample1","TB_hypo","formylmethanofuran_tetrahydromethanoptern_N-formyltransferase"
"TIGR01706_sample1","TB_hypo","periplasmic_nitrate_reductase"
"Hydrogenase_Vignais_Group_1_alignment_sample1","TB_hypo","hydrogenase_group1"
"TIGR01580_sample1","TB_hypo","nitrate_reductase"
"NrfA_PF02335_full__stockholm_sample1","TB_hypo","cytochrome_c_nitrite_reductase"
"TIGR02931_sample1","TB_hypo","Fe-only_nitrogenase"
"TIGR01433_sample1","TB_hypo","cytochrome_o_ubiquinol_oxidase"
"Hydrogenase_Vignais_Group_2a_alignment_sample1","TB_hypo","hydrogenase_group2a"
"coxM_alignment_sample1","TB_hypo","carbon_monoxide_dehydrogenase"
"TIGR02376_sample1","TB_hypo","nitrite_reductase"
"TIGR01660_sample1","TB_hypo","nitrate_reductase"
"Hydrogenase_Vignais_Group_3d_alignment_sample1","TB_hypo","hydrogenase_group3d"
"TIGR03509_sample1","TB_hypo","decaheme-associated_outer_membrane_protein"
"TIGR00339_sample1","TB_hypo","sulfate_adenylyltranferase"
"TIGR01282_sample1","TB_hypo","nitrogenase_MoFe"
"TIGR04315_sample1","TB_hypo","octaheme_c-type_cytochrome"
"norB_alignment_sample1","TB_hypo","nitric_oxide_reductase"
"PF01654_seed_sample1","TB_hypo","cytochrome_bd_terminal_oxidase"
"TIGR02512_sample1","TB_hypo","FeFe_hydrogenase"
"Hydrogenase_Vignais_Group_3c_alignment_sample1","TB_hypo","hydrogenase_group3c"
"TIGR01702_sample1","TB_hypo","carbon_monoxide_dehydrogenase"
"TIGR03257_sample1","TB_hypo","methyl-coenzyme_M_reductase"
"nirS_alignment_sample1","TB_hypo","nitrite_reductase"
