"V1","V3","annotation"
"TIGR04555_sample1","TB_epi","sulfite_dehydrogenase_SoxC"
"TIGR03888_sample1","TB_epi","nitrile_hydratase"
"TIGR03509_sample1","TB_epi","decaheme-associated_outer_membrane_protein"
"TIGR01861_sample1","TB_epi","Fe-only_nitrogenase"
"coxS_alignment_sample1","TB_epi","carbon_monoxide_dehydrogenase"
"TIGR04315_sample1","TB_epi","octaheme_c-type_cytochrome"
"norB_alignment_sample1","TB_epi","nitric_oxide_reductase"
"PF01654_seed_sample1","TB_epi","cytochrome_bd_terminal_oxidase"
"TIGR02374_sample1","TB_epi","nitrite_reductase"
"TIGR00781_sample1","TB_epi","cbb3_cytochrome_c_oxidase"
"TIGR04488_sample1","TB_epi","thiosulfate_oxidation_carrier_SoxY"
"rubisco_form_II_alignment_sample1","TB_epi","rubisco"
