	TB01July08E	TB01July08H	TB01Oct07E	TB01Oct07H	TB02July07E	TB02July07H	TB03Aug09E	TB03Aug09H	TB03June09E	TB03June09H	TB04Oct08E	TB04Oct08H	TB05Aug08E	TB05Aug08H	TB05Nov07E	TB05Nov07H	TB07July09E	TB07July09H	TB07Jun07E	TB07Jun07H	TB08July08E	TB08July08H	TB08June09E	TB09Aug07E	TB09Aug07H	TB09Sept08E	TB09Sept08H	TB10July07H	TB10Sept07H	TB11Aug09E	TB11Aug09H	TB12Aug08E	TB12Aug08H	TB12July07E	TB13July09E	TB13July09H	TB13Jun07E	TB13Jun07H	TB13June08E	TB13June08H	TB14Nov07E	TB14Nov07H	TB15July08E	TB15July08H	TB15June09E	TB15June09H	TB16Oct07E	TB16Oct07H	TB17Sept07E	TB17Sept07H	TB18Aug09E	TB18Aug09H	TB19Aug08E	TB19Aug08H	TB20Aug07E	TB20Aug07H	TB20Sept08E	TB20Sept08H	TB21July09E	TB21July09H	TB22July08E	TB22July08H	TB22May08E	TB22May08H	TB23June09E	TB23June09H	TB23Oct08E	TB23Oct08H	TB24June08E	TB24June08H	TB25Aug08E	TB25Aug08H	TB25July07E	TB25July07H	TB27Aug07E	TB27Aug07H	TB27July09E	TB27July09H	TB27Jun07E	TB27Jun07H	TB28May07H	TB29July08E	TB29July08H	TB29June09E	TB29June09H	TB29May08E	TB29May08H	TB29May09E	TB29May09H	TB30Apr08E	TB31July07E	TB31July07H
Unknown	1.64	0.5	0.5	0.6	0.71	0.22	1.16	0.59	0.19	0.21	1.63	0.25	14.2	0.4	0.12	0.52	0.12	1.58	0.08	0.28	1.09	0.4	0.12	7.43	1.14	1.18	2.13	0.32	0.41	4.12	0.79	10	0.5	7.16	0.55	0.89		0.12	0.65	0.1	0.02	0.21	1.11	0.33	0.07	0.04	0.72	0.74		2.13	2.95	2.23	9.47	0.24	0.31	0.87	1.23	1.05	5.56	0.68	1.83	0.23	0.49	0.53	1.91	0.28	2.27	0.51	1.41	1.07	4.54	0.09	17.51	1.42	0.59	0.44	3.37	0.67	0.63	0.43	0.14	6.38	1.42	3.46	0.27	2.9	0.17	0.24	0.08	0.63	9.91	1.71
Alveolata	1.41	0.44	0.02	0.15	3.21	2.4	2.81	0.63	6.06	0.47	0.68	0.26	0.68	1.04	3.42	1.05	4.28	1.4	0.16	0.89	2.77	0.16	1.65	1.8	0.29	0.54	0.59	2.32	0.21	1.83	0.56	1.46	0.33	1.47	3.68	0.93		1.52	1.27	0.1	1.92	1.85	2.08	0.4	0.9	0.23	0.13	0.09		0.19	1.38	1.88	1.35	0.61	1.83	0.47	0.34	0.52	2.84	1.35	1.03	0.39	4.08	2.46	1.54	0.41	3.9	0.35	0.9	3.06	1.13	0.27	1.42	0.62	1.81	0.74	2.16	0.78	3.73	1.49	1.99	1.26	0.91	0.87	0.68	11.13	0.52	5.55	4.83	1.69	2.29	0.49
Viridiplantae	1.18	0.88	0.55	0.17	3.52	1.17	1.36	0.6	1.54	0.77	0.12	0.1	1.11	0.5	0.03	0.04	1.08	0.79	2.07	0.39	1.19	0.41	0.87	0.38	0.48	0.45	0.33	2.78	0.21	0.85	0.34	0.42	0.5	1.76	1.77	1.2	6.54	1.55	2.35	0.97	0.02	0.02	1.36	0.36	2.57	0.78	0.06	0.06		0.17	0.72	0.8	0.97	0.58	0.52	0.71	0.37	0.4	1.07	0.68	1.5	0.49	0.92	5.25	2.49	1.07	0.12	0.24	1.76	1.6	0.43	0.22	0.75	0.47	0.33	0.55	0.61	0.53	2.45	0.6	0.53	1.14	0.48	0.78	2.25	1.86	2.14	1.76	1.73	17.16	1.87	2.25
Firmicutes	0.69	1.13	0.64	0.64	0.82	1.31	0.25	1.79	0.07	0.99	0.07	1.58	0.11	1.29	0.3	2.39	0.44	0.35	0.21	1.3	0.75	1.2	0.05	0.08	1.17	0.41	1.68	1.95	0.9	0.67	1.4	0.16	1.84	0.44	0.17	0.92		2.06	0.48	1.95	0.15	0.2	0.66	1.54	0.11	1.4	0.38	2.37		1.56	0.28	2.29	0.25	1.83	0.15	1.66	0.34	2.14	0.4	1.86	0.52	1.19	0.62	0.98	0.07	1.14	0.28	2.28	0.42	0.97	0.25	1.44	0.36	0.77	0.14	1.86	0.47	1.64	0.12	0.64	1.36	0.22	1.53	0.12	1.61	0.88	1.43	0.06	0.08	0.68	0.26	0.55
TM7	0.1	0.46	0.24	0.84	0.03	1.6	0.42	0.04	0.65	0.09	0.97	1.1	1.03	0.51	0.23	2.53	0.06	0.09	0.01	1.36	0.08	1.37	1.05	0.04	1.43	0.59	1.14	2.22	0.41	0.27	0.08	1.9	0.83	0.01	0.29	0.19		1.81	0.34	0.1	0.11	0.39	0.19	1.05	0.64	0.27	0.51	1.68		1.4	0.57	0.34	1.53	0.77	0.15	1.5	0.55	0.84	0.35	0.17	0.17	0.26	0.07	0.57	0.52	0.1	4.15	0.61	0.09	0.33	1.46	1.36		0.99	1.21	3.59	0.47	0.23	0.03	0.83	4.26	0.18	0.45	0.1	0.23		0.62	0.33	0.26	0.16	0.02	0.24
Fusobacteria	0.11	0.18		0.02	0.21	0.11	0.23	0.42	0.21	0.18	7.51	0.91	2.01	0.46		0	0.02	0.26	0.09	0.02	0.11	0.17	1.5	0.92	2.51	1.22	1.19	0.49	0.07	0.56	0.56	1.34	0.33	0.36	0.03	0.29		0.02	0.03			0	0.49	0.22	0.34	0.54	0	0.01		0.06	0.15	0.44	1.68	0.57	0.4	0.87	3.88	0.31	0.26		0.62	0.62	0.01		0.54	0.17	0.02	0.01	0.13	0.35	2.31	0.13	0.76	1.53	0.81	0.79	0.14	0.36	0.32	0.02		1.56	0.66	0.33	0.35	0.12	0.02	1.63	0.73		1.27	0.37
Fungi	1.31	0.22	0.14	0.32	0.57	1.26	0.25	1.54	0.53	0.23	0.15	0.29	0.12	0.08	0.03	0.21	0.77	1.49	0.72	1.39	0.49	0.1	0.07	0.18	0.19	0.27	0.49	1.33	0.69	0.43	0.35	0.22		0.42	1.34	0.36	0.48	1.89	3.33	0.34		0.02	0.2	0.11	0.53	0.04	0.12	0.18		0.34	0.35	0.31	0.2	0.14	0.27	0.52	0.1	0.31	0.12	1.02	0.29	0.11	1.23	0.08	0.21	0.19	0.22	0.21	0.81	0.65	0.58	0.08	0.65	0.28	0.36	0.27	0.3	0.22	0.7	0.71	3.36	0.26	0.11	0.75	0.38	1.36	0.22	0.5	0.29	0.35	0.48	0.24
Lentisphaerae	0.01	0.46		0.34		0.35		0.27		0.4	0.14	1.72	0.02	1.24	0.13	0.76				0.21	0.01	0.33		0.01	0.6	0.18	0.57	0.08	0.21	0.11	1.47	0.03	0.83	0	0.03	0.01		0.1	0.05	0.19	0.01	0.02	0.37	0.38	0.01	0.12	0.2	1.19		0.69	0.11	0.06	0.13	0.61	0.06	0.41	0.81	1.45			0.11	0.79	0.03	0.42		0.14	0.04	1.29	0.06	0.3	0.16	0.83	0.02	0.69	0.07	0.14	0.03	0.29		1.23	0.02	0.01	1.59		0.02		0.17	0.01	0.02	0.04	0	0.55
Chloroflexi	0.11	0.4	0.05	0.55		0.24	0.01	0.19	0.01	0.27	0.07	0.89	0.02	0.75	0.17	1.42	0.02			0.51	0.03	0.43	0.1	0.02	0.6		0.73	0.04	0.41	0.11	0.75	0.04	1.17	0.01		0.06		0.05	0.03	0.24	0.01	0.03	0.23	0.61	0.01	0.12	0.24	1.49		1.42	0.1	0.07	0.08	1.09	0.09	1.18	0.22	1.18			0.09	0.55	0.01	0.23		0.08	0.04	0.9	0.09	0.26	0.22	1.05	0	0.35	0.06	0.84	0.04	0.19	0.01	0.32	0.06	0.01	0.62	0.01	0.01	0.02	0.41	0.01	0.02	0.06		0.3
OP10	0.05	0.36	0.01	0.26	0.16	0.26	0.06	0.76	0.09	0.22	0.11	0.78	0.1	0.49	0.12	0.97	0.39			0.23	0.01	0.32	0.13	0.24	0.41	0.09	0.35	0.29	0.62	0.11	0.5	0.06	0.5	0.28	0.83	0.41		0.18	0.05	0.05	0.05	0.04	0.13	0.5	0.04	0.39	0.17	1.26		0.92	0.25	0.99	0.14	0.7	0.15	0.81	0.04	0.52	0.07	1.02	0.53	0.45	0.04	0.23	0.07	0.18	0.05	0.79		0.26	0.09	0.52	0.19	0.4	0.1	0.58	0.13	0.76	0.03	0.2	0.08	0.12	0.64	0.04	0.37	0.06	0.25	0.11	0.11	0.01	0.21	0.85
Planctomycetes	0.03	0.22	0.05	0.45		0.3		0.1	0.03	0.08	0.05	0.69	0.01	0.51	0.18	2.21	0.1	0.09	0.11	0.23	0.06	0.27	0.07	0.2	0.29	0.05	0.45	0.13	0.69	0.03	0.25	0.03	0.5	0.04	0.06	0.06		0.16	0.03	0.19	0.02	0.03	0.12	0.39	0.03	0.12	0.43	2.26		1.77	0.01	0.11	0.14	0.56	0.36	0.98	0.08	0.9	0.01	0.34	0.02	0.42	0.07	0.45	0.01	0.11	0.06	0.83	0.07	0.29	0.1	0.38	0.02	0.35	0.16	0.61	0.07	0.18		0.44	0.04	0.01	0.47	0.03	0.09	0.22	0.18	0.04		0.06	0.03	0.43
Chlamydiae	0.2	0.3	0.07	0.22	0.07	0.85	0.14	0.3	0.1	0.21	0.07	0.62	0.04	0.46	0.15	0.47	0.08		0.12	0.45	0.29	0.64	0.12	0.08	0.48	0.36	0.55	0.85	0.07	0.05	0.28	0.03	0.5	0.1	0.08	0.4		0.8	0.47	0.15	0.09	0.13	0.15	0.61	0.07	0.27	0.18	0.59		0.34	0.03	0.31	0.06	0.7	0.27	0.45	0.08	0.8	0.07		0.12	0.39	0.4	0.42	0.1	0.19	0.19	0.4	0.28	0.53	0.11	0.84	0.02	0.32	0.34	0.74	0.1	0.16	0.07	0.36	1.16	0.04	0.41	0.06	0.47	0.46	0.27	0.12	0.13	0.28	0.07	0.37
SHA-95	0.01	0.04	0	0.46	0.01	0.66		0.16	0.01	0.02	0.02	0.26	0.01	0.22	0.32	2.21				0.23	0.01	0.16	0.02	0.03	0.86		0.2	1.03	1.17		0.09		0.17	0.01		0.13		0.62	0.06	0.15	0.14	0.29	0.04	0.09	0.03	0.04	0.29	1.26		1.1	0.02	0.32	0.02	0.19	0.06	1.22	0.05	0.22			0.01	0.11	0.04	0.19		0.05	0.05	0.08	0.02	0.05	0.04	0.11	0	0.49	0.16	2.44	0.01	0.17		0.25	0.39	0.02	0.11		0.17	0.02	0.12	0.01		0.03	0	0.3
Methanomicrobia_Eury	0	0.46	0	0.21	0.01	0.57	0.03	0.34	0.01	0.08	0.01	0.31		0.54	0.13	1.06		0.09	0.03	0.28	0.03	0.37		0.01	0.29		0.33	0.41	0.41	0.03	0.69	0.01	1	0.02		0.2		0.48	0.01	0.39	0.04	0.06	0.04	0.69	0.03	0.12	0.11	0.83		1.15	0.02	0.45	0.01	0.51	0.01	0.51	0.05	0.67		0.17	0	0.65		0.45		0.15	0.04	0.38		0.34	0.01	0.2		0.23	0.02	0.89		0.26		0.43	0.18	0.01	0.28	0.01	0.21	0.04	0.45	0.01		0.01		0.49
Granuloreticulosea	0	0.1	1.59	0.12	0.04	0.26	0.13	0.63		0.87	0.01	0.03		0.02	0.02	0.06		0.61	0.04	0.13		0.04					0.1	0.42		0.17	0.42			0.03	0.64	1.13		0.25	0.05	0.19			0.04	0.07	0.01	0.81	0.02	0.11		0.01	0.08	0.8		0.03	0.01	0.12	0.07	0.07	0.93	1.18		0.03		0.11		1.05	0.01	0.06	0.02	0.11	0.01	0.02		0.03	0	0.16	0.42	1.2	0.41	0.26	0.24		0.07	0.04	1.97		0.23				0.01	
OP11	0.03	0.3	0.02	0.2	0.04	0.57	0.02	0.11	0.01	0.08	0.11	0.31	0.02	0.17	0.1	0.51	0.08		0.07	0.28	0.04	0.52	0.02	0.07	0.38	0.05	0.47	0.76	0.76	0.04	0.13	0.02	0.33	0.06	0.04	0.22		0.23	0.08	0.1	0.12	0.1	0.08	0.39	0.01	0.16	0.16	0.43		0.47	0.09	0.24	0.09	0.56	0.11	0.68	0.18	0.24	0.02	0.17	0.07	0.34	0.08	0.64		0.14	0.12	0.09	0.06	0.23	0.08	0.5	0	0.24	0.26	0.8	0.05	0.15	0.03	0.15	0.73	0.03	0.26	0.04	0.3	0.06	0.41	0.01		0.06	0.01	0.12
