	MEDH09Jun2009	MEDH13Jun2011	MEDH30Jul2009	MEDH26Oct2009	MEDH25Sep2008	MEDH07Jul2009	MEDH01Nov2011	MEDH18Jun2009	MEDH12Oct2012	MEDH22Apr2009	MEDH19Aug2010	MEDH29Oct2010	MEDH12Jul2011	MEDH02Jun2012	MEDH05Aug2010	MEDH19Jul2008	MEDH13Sep2012	MEDH13Oct2010	MEDH27Aug2008	MEDH10Aug2009	MEDH20Jul2012	MEDH24Aug2012	MEDH21Jun2010	MEDH06Jul2010	MEDH03Aug2012	MEDH17Oct2008	MEDH23Jul2008	MEDH03May2011	MEDH17Aug2012	MEDH27Sep2009	MEDH26Aug2009	MEDH15Jul2010	MEDH15Jun2010	MEDH26Oct2012	MEDH20Aug2008	MEDH14Nov2009	MEDH08Oct2012	MEDH01Jun2011	MEDH27Jul2012	MEDH18May2010	MEDH07Oct2009	MEDH03Oct2011	MEDH09Aug2011	MEDH31Aug2012	MEDH30Aug2010	MEDH21Jul2008	MEDH13Jun2010	MEDH09Jul2008	MEDH25Jul2011	MEDH13Sep2009	MEDH28Jun2011	MEDH22Jun2012	MEDH08Oct2008	MEDH21Sep2011	MEDH16Nov2012	MEDH16Jul2010	MEDH06Jul2012	MEDH07Sep2012	MEDH29Apr2009	MEDH12Sep2008	MEDH14Sep2010	MEDH29Jun2012	MEDH14Sep2009	MEDH30Nov2011	MEDH22Aug2011	MEDH18May2011	MEDH20Apr2010	MEDH02Jun2010	MEDH21Sep2012	MEDH17May2012	MEDH18Jul2008	MEDH13Jul2012	MEDH27Sep2012	MEDH19Nov2010	MEDH17Aug2010	MEDH04Sep2011	MEDH05May2010	MEDH02Apr2012	MEDH22Oct2012	MEDH09Nov2012	MEDH26Sep2010	MEDH15Jun2012	MEDH08Jun2012	MEDH26Jun2009	MEDH22May2010	MEDH05Nov2012	MEDH15Mar2012	MEDH05May2012	MEDH27Jul2010
WPS-2	0	0	0.0020007603	0.0143988481	0.0018677799	0.0010132226	0	0	0.0022516099	0.0013116302	0.0033471683	0	0	0.0040852594	0.0010395227	0	0	0.0133879263	0.0093099467	0	0.000693924	0.0027425061	0	0	0	0.0043844265	0	0	0.0090774055	0.0081035635	0	0	0	0.001645779	0.000790939	0.2771002612	0.0010323433	0.0009385529	0.0065605498	0	0.0064118183	0.0008963786	0	0.0045528633	0.0081864044	0	0.0062027685	0.0036466405	0	0	0	0.0016392233	0.004895098	0	0	0	0.0016627454	0.000949325	0.0012471627	0.0011793705	0.0021490125	0.0032292788	0.0030371443	0	0.0010620898	0	0.0025898684	0	0.0043738409	0.0036941605	0.0018981095	0	0.0008331875	0.0040028821	0	0	0	0	0.0018427066	0	0.0031953731	0.0045917899	0.0033367813	0	0	0.0069944744	0	0	0
ABY1_OD1	0	0	0.0020007603	0.0039269586	0	0.0010132226	0.0051722354	0.0012004802	0.0007505366	0	0.0066943366	0.0180168586	0	0.0020426297	0.0176718851	0	0	0	0	0.0010733069	0.001387848	0.0009141687	0	0.0009673893	0.0009599601	0.0076727464	0	0.002539575	0.0008252187	0.0030388363	0.0009092397	0.0013637355	0.0014087483	0	0	0.0057729221	0	0.0009385529	0.0008200687	0.0015385089	0.0115412729	0.0089637863	0.0561214468	0.0009105727	0.0214893116	0	0	0	0.0046642226	0.0011012367	0	0.0032784467	0.0097901961	0.0045454132	0.0023481895	0	0.0016627454	0.0028479751	0	0.0047174818	0.0010745063	0.0021528525	0.0040495257	0.0085991917	0.0254901544	0.0019679035	0	0.0024248597	0.0043738409	0.0009235401	0	0	0	0.0066714701	0.0109189812	0.0028299217	0	0	0	0.0016535212	0.0031953731	0.0026238799	0.0022245209	0	0	0.0019984212	0.0018572171	0	0.0349321249
SM2F11	0	0.0108771319	0.0020007603	0	0	0.0081057804	0	0.0012004802	0	0	0	0	0.0037090956	0	0	0	0	0	0	0.0332725126	0	0	0.0083261966	0.0145108396	0	0	0	0.0067722001	0	0.0040517818	0.0009092397	0.0013637355	0.0056349933	0	0.006327512	0	0	0.0159554	0	0	0	0	0	0	0	0	0	0	0	0.0330371007	0.0045432655	0	0	0	0	0	0	0	0	0	0	0	0	0.001074899	0	0.0541173461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019057238	0	0	0	0.0010484488	0.0029110104
WS3	0	0	0	0.0039269586	0	0	0	0	0	0.0013116302	0	0.0128691847	0	0	0.0041580906	0	0	0	0.002792984	0	0.000693924	0.0018283374	0.0011894567	0.0048369465	0.0009599601	0	0	0.0033861001	0	0.0010129454	0	0.0013637355	0	0.0148120109	0	0.0086593832	0	0.0018771059	0.0016401374	0	0.003847091	0.0017927573	0.0014030362	0.002731718	0	0	0	0	0	0	0	0.002458835	0.0029370588	0.0009090826	0.0015654597	0	0.0016627454	0	0.0024943254	0.0047174818	0.0032235188	0.0032292788	0	0.0128987875	0.0074346284	0.0009839517	0.0012949342	0	0.0026243046	0.0018470802	0.0009490547	0.0008116653	0	0.0053371761	0.0019852693	0	0	0.00093569	0	0.0008267606	0	0.0032798499	0.0022245209	0	0	0	0	0	0.0009703368
SC4	0	0	0	0.0013089862	0	0	0	0	0.0007505366	0	0	0.0025738369	0	0.0020426297	0.0020790453	0	0	0	0	0	0	0	0	0	0.014399401	0.0010961066	0	0	0.0008252187	0	0	0	0	0.0452589222	0	0	0	0	0	0	0.0012823637	0	0	0	0	0	0	0	0	0	0	0	0.0009790196	0.0009090826	0.0015654597	0	0	0.0018986501	0	0	0	0.0021528525	0	0	0.0223038851	0	0	0	0.0017495364	0.0018470802	0	0.0008116653	0	0.0026685881	0.0019852693	0	0	0	0	0	0	0.00131194	0	0	0	0	0	0	0
OP8	0	0	0.0010003801	0.0052359448	0	0.0010132226	0.0062066825	0	0	0.0013116302	0.0011157228	0.0270252879	0	0.0020426297	0	0	0	0	0	0	0.004163544	0	0	0.0009673893	0	0.0010961066	0	0.0050791501	0.0008252187	0	0	0.0013637355	0	0	0	0.0072161526	0	0.0009385529	0	0	0	0	0.0014030362	0	0	0	0	0	0	0	0	0.002458835	0.0029370588	0.0018181653	0	0	0	0	0	0.0023587409	0	0.0032292788	0	0.0128987875	0	0.0019679035	0	0	0.0008747682	0.0009235401	0	0.003246661	0	0.0293544686	0.0009926347	0	0	0.00093569	0	0.0008267606	0.0015976865	0.00131194	0	0	0	0	0	0	0
Thermi	0	0	0.0010003801	0	0	0	0.0020688942	0	0.0120085861	0	0.0022314455	0	0.0009272739	0.0040852594	0	0	0.0008849323	0	0.0009309947	0.0010733069	0.002775696	0	0	0.0019347786	0.0009599601	0.0010961066	0	0.000846525	0.0066017495	0	0	0	0	0.0041144475	0	0	0.0010323433	0	0	0	0	0.0008963786	0.0014030362	0.0009105727	0.0010233006	0	0.0062027685	0	0.0009328445	0.0011012367	0	0.0008196117	0	0	0.0007827298	0	0	0.000949325	0	0	0	0.0010764263	0	0.0032246969	0.0074346284	0.0019679035	0.0012949342	0	0.0008747682	0.0027706203	0	0	0	0	0	0.0009433072	0	0.00093569	0.0046067664	0	0	0.0026238799	0.0022245209	0	0	0	0	0	0
Lentisphaerae	0	0	0	0	0.0009338899	0	0.0010344471	0	0.0015010733	0	0.0022314455	0	0	0.0030639445	0	0	0.0008849323	0	0	0	0.002081772	0	0	0.0019347786	0.0057597604	0.0021922133	0	0	0.0033008747	0	0	0	0	0.003291558	0	0	0	0	0	0	0.003847091	0.0008963786	0	0.0009105727	0	0	0	0	0	0	0	0.0057372817	0.0009790196	0.0009090826	0.0015654597	0	0.0016627454	0.0028479751	0	0.0011793705	0	0.0096878364	0	0	0.0159313465	0	0	0	0.0034990727	0	0	0.0016233305	0.0016663751	0.001334294	0.0039705386	0	0	0.00093569	0.0027640599	0.0008267606	0.0007988433	0.0032798499	0.0044490418	0	0	0.0019984212	0	0	0.0029110104
Thermotogae	0.0024183212	0	0	0	0	0	0	0.006002401	0	0	0.0022314455	0	0	0	0.0010395227	0	0	0	0	0	0.000693924	0	0	0	0.0009599601	0.0010961066	0	0	0	0	0.0045461985	0	0	0.0008228895	0.000790939	0.0014432305	0	0	0.0008200687	0	0	0.0017927573	0	0	0.0010233006	0.001990195	0.0010337948	0.0054699608	0	0.0022024734	0.0009086531	0.0008196117	0.0029370588	0	0.0015654597	0	0	0.000949325	0.0349205557	0	0.0021490125	0	0.0010123814	0	0	0	0	0	0.0026243046	0.0009235401	0.0009490547	0.0016233305	0.0016663751	0	0	0	0	0	0	0	0.0007988433	0.00131194	0.0011122604	0	0	0	0	0	0
WS6	0.0024183212	0	0	0.0026179724	0.0009338899	0	0.0010344471	0	0.0052537564	0	0.0066943366	0.0012869185	0	0	0.0176718851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004937337	0	0.0014432305	0	0.0009385529	0	0.0015385089	0	0.0008963786	0	0	0.0112563061	0	0	0	0.0083956007	0	0	0	0.0039160784	0	0	0	0	0	0	0.0011793705	0	0	0	0.001074899	0	0	0	0	0	0	0	0.0008116653	0	0	0	0.0018866145	0	0.00093569	0	0	0	0	0.0033367813	0	0	0	0	0.0010484488	0
