sample,site,date
IHXY,TB_hypo,6/15/2009
IHUN,TB_hypo,6/23/2009
IHUO,TB_hypo,6/29/2009
IHUP,TB_hypo,7/7/2009
IHUA,TB_hypo,7/13/2009
IHUB,TB_hypo,7/21/2009
IHUC,TB_hypo,7/27/2009
IHUH,TB_hypo,8/3/2009
IHUI,TB_hypo,8/11/2009
IHUF,TB_hypo,8/18/2009
