"","Verrucomicrobiales_2582580521","Verrucomicrobia_2582580523","Puniceicoccales_2582580524","Opitutae_2582580546","Verrucomicrobia_2582580559","Verrucomicrobiales_2582580573","Verrucomicrobiales_2582580593","Spartobacteria_2582580607"
"COG0142",3,2,2,2,1,2,3,3
"COG0143",0,1,1,1,0,1,1,1
"COG0144",1,2,0,0,0,0,2,1
"COG0145",0,0,0,0,0,0,0,0
"COG0146",0,0,0,0,0,0,1,0
"COG0147",1,2,1,1,0,1,2,2
"COG0148",2,0,1,1,1,1,1,0
"COG0149",1,1,1,1,1,1,1,1
"COG0150",0,1,1,0,1,1,0,1
"COG0151",1,0,1,1,0,1,1,0
"COG0152",0,1,1,1,1,0,0,0
"COG0153",1,2,0,0,1,1,0,0
"COG0154",2,1,1,2,0,0,1,1
"COG0155",0,1,1,0,1,1,0,1
"COG0156",2,1,2,0,0,0,1,2
"COG0157",0,1,0,1,0,1,1,1
"COG0158",0,0,0,0,0,0,0,0
"COG0159",1,1,1,1,0,1,1,1
"COG0160",0,1,0,0,0,0,1,2
"COG0161",1,1,0,0,0,0,1,2
"COG0162",1,1,0,0,0,1,1,1
"COG0163",0,0,0,0,0,0,0,1
"COG0164",1,0,1,0,1,1,1,1
"COG0165",1,1,1,1,1,0,1,1
"COG0166",1,1,1,1,0,1,1,2
"COG0167",1,1,1,1,1,1,1,0
"COG0168",0,0,0,0,0,0,0,0
"COG0169",0,1,1,1,1,2,0,1
"COG0170",0,0,0,0,0,0,0,0
"COG0171",0,1,1,1,1,1,0,1
"COG0172",1,1,1,0,1,1,1,1
"COG0173",1,1,0,0,1,0,1,0
"COG0174",1,1,0,0,0,1,0,1
"COG0175",0,2,1,0,1,1,2,2
"COG0176",1,1,0,0,0,1,1,1
"COG0177",1,0,0,1,1,0,1,1
"COG0178",0,0,1,1,1,0,1,3
"COG0179",0,1,1,0,0,1,1,2
"COG0180",2,0,1,2,0,1,1,1
"COG0181",0,1,1,1,0,0,0,1
"COG0182",0,0,0,0,0,0,2,2
"COG0183",0,0,0,0,0,1,0,0
"COG0184",0,1,1,1,1,1,1,1
"COG0185",0,1,1,0,1,1,0,0
"COG0186",0,1,1,0,1,1,1,0
"COG0187",1,1,0,0,2,1,2,2
"COG0188",1,2,0,0,0,0,0,1
"COG0189",0,1,0,0,0,0,0,0
"COG0190",0,1,0,1,0,1,1,0
"COG0191",0,1,0,0,1,1,1,1
"COG0192",1,1,0,0,1,0,1,1
"COG0193",1,1,1,1,1,0,0,1
"COG0194",1,1,1,1,0,1,1,1
"COG0195",1,1,1,1,1,1,1,1
"COG0196",1,0,1,1,0,1,1,0
"COG0197",0,1,1,0,1,1,1,0
"COG0198",0,0,0,0,1,0,1,0
"COG0199",1,1,1,0,1,1,0,1
"COG0200",0,1,1,0,1,1,1,0
"COG0201",0,1,0,0,1,1,0,0
"COG0202",1,1,1,0,1,1,0,1
"COG0203",1,1,1,0,1,1,0,1
"COG0204",2,2,1,1,0,1,2,2
"COG0205",1,2,1,1,2,1,2,3
"COG0206",0,1,0,0,1,0,1,1
"COG0207",1,1,2,1,0,0,1,1
"COG0208",1,0,0,0,0,1,1,0
"COG0209",0,0,0,0,0,0,1,0
"COG0210",0,2,1,1,0,1,1,2
"COG0211",0,1,1,1,0,1,0,1
"COG0212",1,1,0,1,1,1,0,1
"COG0213",1,1,1,1,0,0,1,1
"COG0214",0,0,0,0,1,0,0,0
"COG0215",0,1,1,1,0,0,1,1
"COG0216",1,1,1,1,1,1,1,1
"COG0217",1,1,1,1,0,1,2,1
"COG0218",0,1,0,0,0,1,0,0
"COG0219",1,0,1,1,0,1,1,1
"COG0220",1,1,1,0,0,1,1,1
"COG0221",0,0,0,0,0,0,0,0
"COG0222",0,0,1,0,1,1,1,1
"COG0223",1,1,1,2,1,1,1,1
"COG0224",0,0,0,0,0,0,1,1
"COG0225",0,2,1,2,0,1,1,1
"COG0226",2,1,2,1,0,0,1,1
"COG0227",0,0,1,1,1,1,1,1
"COG0228",0,1,1,0,1,1,1,1
"COG0229",0,1,1,1,0,1,1,1
"COG0230",1,1,0,0,0,1,1,0
"COG0231",0,0,1,2,0,1,0,2
"COG0232",1,0,0,0,0,1,1,2
"COG0233",0,1,1,2,2,1,0,1
"COG0234",0,0,1,0,0,1,0,1
"COG0235",0,0,0,0,1,2,1,1
"COG0236",0,1,1,2,2,1,1,4
"COG0237",0,0,1,1,1,0,0,1
"COG0238",1,0,0,0,1,0,1,0
"COG0239",0,0,0,0,0,0,1,0
"COG0240",0,1,0,0,0,1,1,1
"COG0241",0,0,1,1,0,0,1,1
"COG0242",0,1,1,1,0,1,1,2
"COG0243",0,0,0,0,0,0,0,0
"COG0244",0,1,1,0,1,1,1,1
"COG0245",1,1,1,1,0,0,0,1
"COG0246",0,0,0,0,1,0,0,0
"COG0247",0,1,0,0,0,0,0,2
"COG0248",1,2,0,0,1,0,0,0
"COG0249",1,1,1,1,1,1,0,0
"COG0250",1,2,2,1,2,1,2,1
"COG0251",1,1,0,0,0,1,2,2
"COG0252",0,0,0,0,0,0,0,0
"COG0253",0,1,1,0,1,1,1,1
"COG0254",0,1,1,0,1,1,1,1
"COG0255",0,1,1,0,1,1,1,0
"COG0256",0,1,1,0,1,1,1,0
"COG0257",1,1,1,1,0,1,0,0
"COG0258",0,0,1,1,0,0,0,1
"COG0259",1,1,0,1,0,1,1,1
"COG0260",0,0,0,0,0,0,0,1
"COG0261",0,1,1,1,0,1,0,1
"COG0262",1,1,2,2,0,1,1,1
"COG0263",0,0,0,0,0,0,0,1
"COG0264",1,1,1,1,1,1,0,1
"COG0265",3,3,2,1,0,5,2,10
"COG0266",1,1,1,1,0,1,0,0
"COG0267",1,0,1,1,1,0,1,1
"COG0268",1,1,0,0,0,1,1,1
"COG0269",0,0,0,2,0,0,1,0
"COG0270",0,0,0,0,0,0,0,1
"COG0271",0,0,0,0,0,0,0,0
"COG0272",1,0,0,0,0,0,1,1
"COG0274",0,1,0,0,1,1,1,1
"COG0275",1,0,1,1,0,2,1,2
"COG0276",0,0,1,1,0,0,0,0
"COG0277",0,2,1,2,0,2,2,2
"COG0278",0,0,0,0,0,0,0,0
"COG0279",0,0,0,0,0,0,1,1
"COG0280",1,1,1,1,1,1,0,1
"COG0281",0,0,0,0,1,0,0,0
"COG0282",1,0,0,0,1,1,0,1
"COG0283",0,1,0,1,1,1,0,1
"COG0284",0,0,1,1,0,1,0,1
"COG0285",0,0,1,0,0,1,1,1
"COG0286",0,0,0,0,0,0,0,2
"COG0287",0,1,1,1,0,1,1,1
"COG0288",1,1,0,0,0,0,0,1
"COG0289",0,1,0,1,0,1,0,1
"COG0290",1,1,1,1,1,1,0,1
"COG0291",1,1,1,1,1,0,1,1
"COG0292",1,1,0,1,1,1,1,1
"COG0293",0,0,0,0,0,0,0,0
"COG0294",1,1,1,0,1,1,2,2
"COG0295",0,1,0,0,0,0,1,0
"COG0296",1,1,1,1,0,1,1,0
"COG0297",1,1,1,1,0,1,0,1
"COG0298",0,0,0,0,0,0,0,0
"COG0299",1,1,1,0,0,0,0,1
"COG0300",1,1,1,1,0,0,0,1
"COG0301",0,0,0,0,0,0,0,0
"COG0302",0,0,0,0,0,0,0,0
"COG0303",0,0,0,0,0,0,1,1
"COG0304",2,1,1,1,1,1,2,7
"COG0305",1,1,1,1,1,1,1,1
"COG0306",0,0,1,1,0,0,1,1
"COG0307",1,1,2,1,0,0,1,0
"COG0308",0,0,0,0,0,0,0,1
"COG0309",0,0,0,0,0,0,0,0
"COG0310",0,0,0,0,1,0,0,0
"COG0311",0,0,0,0,1,0,0,0
"COG0312",0,0,0,0,0,0,0,0
"COG0313",0,1,1,1,0,1,0,1
"COG0314",0,0,0,0,0,0,0,2
"COG0315",0,0,0,0,0,0,0,2
"COG0316",1,2,1,2,0,2,1,2
"COG0317",0,0,0,0,0,0,0,0
"COG0318",1,0,4,2,2,1,3,2
"COG0319",0,1,1,1,0,0,0,0
"COG0320",0,1,1,1,0,1,1,1
"COG0321",0,1,0,0,0,1,0,1
"COG0322",0,0,0,0,0,0,0,0
"COG0323",1,1,1,1,1,0,0,1
"COG0324",1,1,1,1,0,1,1,1
"COG0325",1,1,1,1,1,1,0,1
"COG0326",1,1,0,0,0,1,0,1
"COG0327",1,2,1,1,0,0,0,1
"COG0328",0,0,0,0,0,0,1,0
"COG0329",2,2,4,4,0,2,4,1
"COG0330",0,2,0,0,2,0,2,0
"COG0331",0,1,2,1,1,1,1,2
"COG0332",1,1,2,3,0,1,1,1
"COG0333",0,1,1,1,1,1,1,1
