"","Verrucomicrobiales_2582580521","Verrucomicrobia_2582580523","Puniceicoccales_2582580524","Opitutae_2582580546","Verrucomicrobia_2582580559","Verrucomicrobiales_2582580573","Verrucomicrobiales_2582580593","Spartobacteria_2582580607"
"pfam02201",0,0,0,0,0,0,1,1
"pfam02210",0,0,0,0,0,0,0,0
"pfam02211",0,0,0,0,0,0,0,0
"pfam02219",1,1,1,1,1,1,0,1
"pfam02222",0,1,1,0,0,1,1,1
"pfam02223",1,1,1,1,1,1,1,0
"pfam02224",1,1,1,2,1,1,0,1
"pfam02225",0,0,0,0,0,0,1,1
"pfam02229",0,0,0,0,0,0,0,0
"pfam02230",1,0,1,0,0,0,0,0
"pfam02233",0,0,0,0,0,0,0,1
"pfam02237",0,0,0,1,0,0,1,1
"pfam02239",0,0,0,0,0,0,0,0
"pfam02245",0,0,0,0,0,0,1,1
"pfam02253",0,0,0,0,0,0,0,0
"pfam02254",1,2,0,0,0,0,2,1
"pfam02256",0,0,0,0,2,0,0,0
"pfam02261",1,1,2,1,0,1,0,1
"pfam02264",0,0,0,0,0,0,0,0
"pfam02265",0,0,0,0,0,0,0,1
"pfam02272",2,2,1,0,0,2,1,3
"pfam02274",0,0,0,0,0,0,0,0
"pfam02275",0,0,0,0,0,0,0,0
"pfam02276",0,0,0,0,0,0,0,0
"pfam02277",0,0,0,0,0,0,0,0
"pfam02278",0,0,0,0,0,0,0,0
"pfam02281",0,0,0,0,0,0,0,0
"pfam02283",0,0,0,0,0,0,0,0
"pfam02289",0,0,0,0,0,0,0,0
"pfam02293",0,0,0,0,0,0,0,0
"pfam02300",0,0,0,0,0,0,0,0
"pfam02302",0,0,0,0,0,0,0,0
"pfam02308",0,0,0,0,1,0,0,2
"pfam02310",0,0,1,0,1,1,2,3
"pfam02311",1,1,1,2,1,7,3,0
"pfam02312",0,0,0,0,0,0,0,0
"pfam02313",0,0,0,0,0,0,0,0
"pfam02315",0,0,0,0,0,0,0,0
"pfam02317",0,0,0,0,0,0,0,0
"pfam02321",1,4,5,6,2,4,6,4
"pfam02322",0,0,0,0,0,0,0,0
"pfam02325",0,0,0,0,0,0,0,0
"pfam02326",0,0,0,0,0,0,0,0
"pfam02327",0,0,0,0,0,0,0,0
"pfam02332",0,0,0,0,0,0,0,0
"pfam02333",0,0,0,0,0,0,0,0
"pfam02334",0,0,0,0,0,0,0,0
"pfam02335",0,0,0,0,0,0,0,0
"pfam02341",0,0,0,0,0,0,0,0
"pfam02342",0,0,0,0,0,0,0,0
"pfam02347",1,1,0,1,0,0,1,1
"pfam02348",1,1,1,0,1,1,0,1
"pfam02350",0,0,1,0,0,0,0,0
"pfam02353",0,1,2,0,0,0,0,0
"pfam02355",1,1,1,1,1,1,0,1
"pfam02357",1,2,2,1,2,1,2,1
"pfam02358",0,0,0,0,0,0,0,0
"pfam02359",0,0,0,0,0,0,0,0
"pfam02361",0,0,0,0,1,0,0,0
"pfam02366",0,0,0,0,0,0,0,0
"pfam02367",0,0,1,1,1,0,0,1
"pfam02368",0,0,0,0,0,0,0,1
"pfam02369",0,0,0,0,0,0,0,0
"pfam02371",0,1,0,0,0,0,0,0
"pfam02374",1,0,0,0,0,0,0,0
"pfam02378",0,0,0,0,0,0,0,0
"pfam02381",0,1,0,0,0,1,0,1
"pfam02384",0,1,0,0,0,0,0,3
"pfam02386",0,0,0,0,0,0,0,0
"pfam02388",0,0,0,0,0,0,0,0
"pfam02390",1,1,1,1,0,1,1,1
"pfam02391",0,0,0,0,0,0,1,2
"pfam02392",0,0,0,0,0,0,0,0
"pfam02397",0,1,1,0,2,1,1,4
"pfam02401",1,1,1,0,1,0,2,1
"pfam02403",1,1,1,0,0,1,1,1
"pfam02405",0,0,1,2,1,0,2,1
"pfam02406",0,0,0,0,0,0,0,0
"pfam02410",1,1,1,1,0,1,1,1
"pfam02411",0,0,0,0,0,0,0,0
"pfam02412",0,0,0,0,0,0,0,0
"pfam02416",2,0,1,1,2,1,0,1
"pfam02417",0,1,1,0,2,0,0,0
"pfam02419",0,0,0,0,0,0,0,0
"pfam02421",0,1,1,1,1,1,1,1
"pfam02423",1,0,0,0,0,0,0,0
"pfam02424",1,1,2,2,0,1,1,0
"pfam02426",0,0,0,0,0,0,0,0
"pfam02427",0,0,0,0,0,0,0,0
"pfam02433",0,2,1,1,0,0,0,4
"pfam02435",0,0,0,0,0,0,0,0
"pfam02436",1,1,0,0,1,1,1,2
"pfam02441",1,1,1,1,0,1,1,2
"pfam02445",1,1,1,2,0,2,1,1
"pfam02446",1,2,1,1,0,2,1,1
"pfam02447",1,0,1,0,0,0,1,0
"pfam02449",0,0,0,0,0,0,0,0
"pfam02450",0,0,0,0,0,0,0,0
"pfam02452",0,0,0,0,1,0,0,3
"pfam02457",1,0,0,0,1,1,0,1
"pfam02460",0,0,0,0,0,0,0,0
"pfam02461",0,0,0,0,0,0,0,0
"pfam02463",1,2,3,2,1,2,2,2
"pfam02464",1,1,2,1,1,0,1,1
"pfam02465",0,0,0,0,0,0,0,0
"pfam02467",0,0,0,0,0,0,0,0
"pfam02468",0,0,0,0,0,0,0,0
"pfam02469",0,4,0,0,0,0,0,1
"pfam02470",1,1,2,3,1,1,2,1
"pfam02472",4,9,5,2,4,6,4,10
"pfam02475",0,0,0,0,0,0,0,0
"pfam02481",1,1,0,1,0,1,0,1
"pfam02482",1,1,1,1,1,1,0,1
"pfam02485",0,0,0,0,0,0,0,0
"pfam02491",0,1,0,0,1,0,0,1
"pfam02492",0,1,0,0,0,0,1,5
"pfam02493",0,0,0,0,0,0,0,0
"pfam02494",0,0,0,0,0,0,0,0
"pfam02498",0,1,0,0,0,0,0,0
"pfam02501",0,0,0,0,0,0,0,0
"pfam02502",1,1,1,1,1,2,0,1
"pfam02503",1,1,1,1,1,0,1,1
"pfam02504",0,1,1,1,1,1,1,1
"pfam02507",0,0,0,0,0,0,0,0
"pfam02508",0,0,0,0,0,0,0,0
"pfam02511",0,0,0,0,0,0,0,0
"pfam02514",0,0,0,0,0,0,0,0
"pfam02515",0,0,0,0,0,0,0,0
"pfam02516",0,0,0,0,0,0,0,0
"pfam02517",2,2,2,2,0,1,2,3
"pfam02518",7,9,5,5,7,7,11,34
"pfam02522",0,0,0,0,0,0,0,0
"pfam02525",0,0,1,0,0,0,0,1
"pfam02527",0,0,1,1,0,0,0,0
"pfam02530",0,0,0,0,0,0,0,0
"pfam02531",0,0,0,0,0,0,0,0
"pfam02532",0,0,0,0,0,0,0,0
"pfam02533",0,0,0,0,0,0,0,0
"pfam02534",0,0,0,0,0,0,0,0
"pfam02535",0,0,0,0,0,0,0,0
"pfam02537",0,0,0,0,0,0,1,0
"pfam02538",0,0,0,0,0,0,1,0
"pfam02540",0,1,2,1,2,1,0,2
"pfam02541",1,2,1,2,1,0,0,0
"pfam02542",1,1,1,1,0,0,0,1
"pfam02543",0,0,1,0,0,0,1,1
"pfam02544",0,0,0,0,0,0,0,0
"pfam02545",1,1,1,1,1,1,1,1
"pfam02547",1,0,2,1,1,1,0,1
"pfam02548",2,1,0,1,0,1,2,1
"pfam02550",0,0,0,0,0,0,0,1
"pfam02553",0,0,0,0,0,0,0,0
"pfam02554",1,1,0,0,1,0,1,2
"pfam02556",0,1,0,0,0,0,0,0
"pfam02557",0,0,0,0,0,0,0,0
"pfam02558",2,0,1,1,0,0,0,0
"pfam02559",0,1,1,1,0,1,1,1
"pfam02560",0,0,0,0,0,0,0,0
"pfam02561",0,0,0,0,0,0,0,0
"pfam02562",1,2,1,1,0,1,1,2
"pfam02563",1,1,1,1,2,1,2,2
"pfam02565",1,1,0,0,0,0,0,1
"pfam02566",1,0,1,0,0,1,0,2
"pfam02567",0,0,0,0,0,0,0,1
"pfam02568",0,0,0,0,0,0,0,0
"pfam02569",0,1,1,1,1,1,1,1
"pfam02570",0,0,0,0,0,0,0,0
"pfam02571",0,0,0,0,0,0,0,0
"pfam02572",0,0,0,0,0,0,0,0
"pfam02574",1,0,1,1,1,1,1,1
"pfam02575",1,1,1,1,1,0,0,1
"pfam02576",0,0,0,0,0,0,0,0
"pfam02577",0,1,1,1,0,1,1,1
"pfam02578",1,0,0,0,0,0,1,1
"pfam02579",0,0,0,0,0,0,0,0
"pfam02580",0,1,1,1,1,1,1,0
"pfam02581",0,1,3,2,0,1,1,1
"pfam02582",0,0,0,0,0,0,0,0
"pfam02583",0,0,0,0,0,0,0,0
"pfam02585",0,0,2,1,1,2,3,3
"pfam02586",0,0,1,1,0,0,0,0
"pfam02588",0,0,0,0,0,0,0,0
"pfam02589",2,0,1,0,0,0,0,0
"pfam02590",1,1,0,0,0,1,0,0
"pfam02591",1,1,0,0,1,1,1,0
"pfam02592",0,0,1,1,0,0,0,0
"pfam02594",1,0,1,0,0,0,0,1
"pfam02595",2,0,1,1,0,0,1,2
"pfam02596",0,0,0,0,0,0,0,0
"pfam02597",0,1,1,1,1,1,0,4
"pfam02599",0,0,0,0,0,0,0,0
"pfam02600",0,0,0,0,0,0,0,0
"pfam02601",1,1,0,1,1,0,0,2
"pfam02602",0,1,1,1,0,0,0,1
"pfam02603",1,0,1,1,1,1,0,1
"pfam02604",1,10,0,2,0,2,0,7
"pfam02605",0,0,0,0,0,0,0,0
"pfam02606",0,2,2,1,1,0,1,1
"pfam02607",0,0,1,0,0,1,1,1
"pfam02608",0,0,0,0,0,0,0,0
"pfam02609",1,1,1,0,0,1,1,1
"pfam02610",0,0,0,0,0,2,0,0
"pfam02611",0,0,0,0,0,0,0,0
"pfam02613",0,0,0,0,0,0,0,0
"pfam02614",1,1,1,1,1,0,0,0
"pfam02615",1,2,1,1,0,0,2,0
"pfam02616",1,1,1,1,0,1,1,1
"pfam02617",0,1,1,1,0,1,0,1
"pfam02618",0,0,0,0,0,0,0,0
"pfam02620",0,0,0,0,1,1,1,1
"pfam02621",0,0,0,0,0,0,0,2
"pfam02622",1,1,1,1,0,0,1,1
"pfam02623",0,0,0,0,0,0,0,0
"pfam02624",0,0,0,0,0,0,0,0
"pfam02625",0,0,0,0,0,0,0,0
"pfam02626",1,1,0,0,0,1,0,0
"pfam02627",0,0,0,0,0,0,0,0
"pfam02628",1,1,0,0,0,0,1,1
"pfam02629",1,2,1,1,2,1,1,2
"pfam02630",1,1,1,2,0,0,2,1
"pfam02631",0,0,0,0,0,0,0,0
"pfam02632",0,0,0,0,0,0,0,0
"pfam02633",0,0,0,0,0,0,2,2
"pfam02634",0,0,0,0,0,0,1,1
"pfam02635",0,0,0,0,0,0,0,0
"pfam02636",2,1,1,1,0,2,2,1
"pfam02637",0,1,0,0,1,1,1,1
"pfam02638",2,0,0,2,2,1,1,0
"pfam02639",0,0,0,0,0,0,0,0
"pfam02641",0,0,0,0,0,0,0,0
"pfam02643",0,0,1,1,1,0,0,0
"pfam02645",0,0,0,0,0,0,0,0
"pfam02646",0,1,1,1,1,1,0,1
"pfam02649",1,0,2,0,0,1,1,1
"pfam02650",0,0,0,0,0,0,0,0
"pfam02652",0,0,0,0,0,0,1,1
"pfam02653",5,0,1,1,2,0,2,6
"pfam02654",0,0,0,0,0,0,0,0
"pfam02655",0,0,0,0,0,0,0,0
"pfam02656",0,0,0,0,0,0,0,0
"pfam02657",1,1,0,0,0,1,0,1
"pfam02659",0,0,0,0,0,0,0,0
"pfam02660",1,1,2,1,0,2,1,2
"pfam02661",0,5,1,0,1,3,0,4
"pfam02662",0,0,0,0,0,0,0,0
"pfam02663",0,0,0,0,0,0,0,0
"pfam02664",0,0,0,0,0,0,0,0
"pfam02665",0,0,0,0,0,0,0,0
"pfam02666",2,1,1,0,1,1,0,1
"pfam02667",0,0,0,0,0,0,0,0
"pfam02668",0,0,0,0,0,0,0,0
"pfam02669",0,0,0,0,0,0,0,0
"pfam02670",1,2,1,1,1,1,1,1
"pfam02672",0,0,0,0,0,0,0,0
"pfam02673",1,1,1,1,0,0,0,1
"pfam02674",0,0,1,0,1,0,0,1
"pfam02675",0,0,0,0,0,0,0,0
"pfam02677",0,0,0,0,0,0,0,0
"pfam02678",1,0,0,1,0,0,1,1
"pfam02679",0,0,0,0,0,0,0,0
"pfam02680",0,0,0,0,0,0,0,0
"pfam02681",0,0,0,0,1,0,0,0
"pfam02682",1,1,0,0,0,1,0,0
"pfam02683",0,1,1,1,0,1,1,1
"pfam02684",0,0,1,1,0,1,0,1
"pfam02685",0,0,0,0,0,0,0,0
"pfam02686",0,1,0,1,1,0,0,1
"pfam02687",2,3,4,3,3,3,5,6
"pfam02689",0,0,0,0,0,0,0,0
"pfam02690",0,0,1,0,0,0,0,0
"pfam02694",0,0,0,0,0,0,0,0
"pfam02696",0,0,0,0,0,1,1,1
"pfam02697",0,1,0,0,0,0,0,0
"pfam02698",1,1,0,1,0,1,1,2
"pfam02699",1,1,2,1,1,1,1,1
"pfam02700",0,0,0,0,0,0,0,1
"pfam02702",0,0,0,0,0,0,0,0
"pfam02705",0,0,1,1,0,0,0,0
"pfam02706",2,1,1,1,2,0,0,2
"pfam02709",0,0,0,0,0,0,0,0
"pfam02719",0,0,1,1,1,0,0,0
"pfam02720",0,0,0,0,0,0,0,0
"pfam02727",0,0,0,0,0,0,0,0
"pfam02728",0,0,0,0,0,0,0,0
"pfam02729",2,1,2,2,2,1,0,2
"pfam02730",0,0,0,0,0,0,0,0
"pfam02733",0,0,0,0,0,0,1,0
"pfam02734",0,0,0,0,0,0,1,0
"pfam02735",0,0,0,0,0,0,0,0
"pfam02737",0,0,0,0,0,0,0,0
"pfam02738",0,0,0,0,0,0,0,0
"pfam02739",0,0,1,1,1,1,1,1
"pfam02741",0,0,0,0,0,0,0,0
"pfam02742",1,1,0,0,1,1,1,2
"pfam02743",0,0,0,0,0,0,0,0
"pfam02744",0,0,0,0,0,0,0,0
"pfam02746",0,0,0,2,0,0,0,0
"pfam02748",0,0,0,0,0,0,0,0
"pfam02749",0,1,0,1,0,1,1,1
"pfam02754",0,1,0,1,0,0,0,3
"pfam02767",1,1,1,1,1,2,1,1
"pfam02768",1,1,1,1,1,1,1,1
"pfam02769",0,2,1,0,2,2,1,3
"pfam02770",0,0,0,0,0,0,0,0
"pfam02771",0,0,0,0,0,0,0,0
"pfam02772",1,1,0,0,1,0,1,1
"pfam02773",1,1,0,0,1,0,1,1
"pfam02774",0,0,2,2,1,1,2,1
"pfam02775",1,1,2,2,1,0,2,2
"pfam02776",2,2,1,2,1,1,2,1
"pfam02777",2,2,1,1,0,2,1,2
"pfam02779",1,5,3,3,2,4,6,6
"pfam02780",1,4,2,2,2,3,4,5
"pfam02781",1,1,1,0,1,1,0,1
"pfam02782",2,1,3,3,3,2,1,3
"pfam02784",1,1,2,2,1,2,2,2
"pfam02785",3,3,1,0,0,2,1,2
"pfam02786",2,4,3,3,1,3,3,2
"pfam02787",0,1,1,2,0,1,0,0
"pfam02788",0,0,0,0,0,0,0,0
"pfam02789",0,0,0,0,0,0,0,1
"pfam02790",0,0,0,0,0,0,0,0
"pfam02796",0,0,0,0,0,0,0,0
"pfam02797",1,1,0,0,0,0,1,0
"pfam02798",0,0,0,0,0,0,0,0
"pfam02800",2,1,1,2,1,1,1,1
"pfam02801",2,1,1,1,1,2,2,9
"pfam02803",0,0,0,0,0,1,0,0
"pfam02805",0,0,0,0,0,0,0,0
"pfam02806",1,1,1,1,0,1,1,0
"pfam02810",2,1,0,0,1,1,1,0
"pfam02811",2,2,0,1,3,2,2,5
"pfam02812",0,1,0,0,1,0,1,0
"pfam02814",0,0,0,0,0,0,0,0
"pfam02817",0,2,2,2,0,1,2,3
"pfam02823",0,1,0,1,0,0,1,1
"pfam02824",0,0,0,0,0,0,0,0
"pfam02826",3,1,2,2,2,2,3,3
"pfam02830",0,0,0,0,0,0,0,0
"pfam02833",1,1,1,0,0,2,1,1
"pfam02834",0,0,0,0,0,0,0,0
"pfam02836",2,0,0,0,1,0,0,1
"pfam02837",1,0,1,1,0,0,0,0
"pfam02838",4,0,2,1,1,0,0,0
"pfam02839",0,0,0,0,0,0,0,0
"pfam02843",1,0,1,1,0,1,1,0
"pfam02844",1,0,1,1,0,1,1,0
"pfam02852",1,1,1,1,1,1,3,2
"pfam02861",1,2,1,3,1,1,2,3
"pfam02863",0,0,0,0,0,0,0,0
"pfam02866",0,1,1,2,0,1,1,1
"pfam02867",0,0,1,0,0,0,1,1
"pfam02868",0,0,0,0,0,0,0,0
"pfam02870",0,0,0,0,0,0,0,1
"pfam02872",1,0,0,0,0,0,0,0
"pfam02873",0,0,0,0,0,0,0,1
"pfam02874",0,1,0,0,0,0,2,2
"pfam02875",4,3,3,4,0,4,5,4
"pfam02878",1,2,2,3,1,2,2,2
"pfam02879",1,2,2,2,1,2,2,2
"pfam02880",1,2,2,2,1,2,2,2
"pfam02881",2,0,1,1,0,1,1,2
"pfam02882",0,1,0,1,0,1,1,0
"pfam02884",0,0,0,0,0,0,0,0
"pfam02885",1,1,2,2,0,0,1,2
"pfam02887",1,1,0,0,0,0,1,1
"pfam02893",0,0,0,0,0,0,0,0
"pfam02894",1,1,4,3,1,3,6,6
"pfam02895",0,0,0,0,0,0,0,0
"pfam02896",2,2,1,2,2,2,1,2
"pfam02897",0,0,1,0,0,0,0,2
"pfam02898",1,1,0,0,0,1,1,0
"pfam02899",1,2,2,2,1,2,2,2
"pfam02900",0,0,0,0,0,0,0,0
"pfam02901",0,0,0,0,0,0,0,0
"pfam02902",0,0,0,0,0,0,0,0
"pfam02906",0,0,0,0,2,0,0,0
"pfam02909",0,0,0,0,0,0,0,0
"pfam02910",1,2,1,2,1,1,2,2
"pfam02911",1,1,1,2,1,1,1,1
"pfam02912",1,1,0,1,1,0,1,1
"pfam02913",0,2,1,2,0,2,2,2
"pfam02914",0,0,0,0,0,0,0,0
"pfam02915",0,0,0,0,2,0,0,0
"pfam02922",1,1,2,2,0,1,0,0
"pfam02923",0,0,0,0,0,0,0,0
"pfam02924",0,0,0,0,0,0,0,0
"pfam02926",0,0,0,0,0,0,0,0
"pfam02927",0,0,0,0,0,0,0,0
"pfam02929",1,0,0,0,0,0,0,0
"pfam02931",0,0,0,0,0,0,1,0
"pfam02932",0,0,0,0,0,0,1,0
"pfam02933",0,0,0,0,0,0,0,0
"pfam02934",0,1,0,1,1,1,1,2
"pfam02938",1,1,1,1,1,1,1,0
"pfam02941",0,0,0,0,0,0,0,0
"pfam02943",0,0,0,0,0,0,0,0
"pfam02945",0,0,0,0,0,0,0,0
"pfam02951",0,0,0,0,0,0,0,0
"pfam02952",0,1,0,0,2,2,0,0
"pfam02954",1,1,2,2,3,2,1,3
"pfam02955",0,0,0,0,0,0,0,0
"pfam02958",0,0,0,0,0,0,0,0
"pfam02962",0,0,0,0,0,0,0,0
"pfam02965",1,0,1,0,0,1,1,2
"pfam02966",0,0,0,0,0,0,0,0
"pfam02971",0,0,0,0,0,0,0,0
"pfam02975",0,0,0,0,0,0,0,0
"pfam02976",0,0,0,0,0,0,0,1
"pfam02978",1,1,1,1,0,2,1,1
"pfam02979",0,0,0,0,0,0,0,0
"pfam02985",0,0,0,0,0,0,1,0
"pfam02987",0,0,0,0,0,0,0,0
"pfam02991",0,0,0,0,0,0,0,0
"pfam03006",0,0,0,0,0,0,0,0
"pfam03007",0,0,0,0,0,0,0,0
"pfam03008",0,0,0,0,0,0,0,0
"pfam03009",0,0,1,1,0,0,1,0
"pfam03013",0,0,0,0,0,0,0,0
"pfam03015",0,0,0,0,0,0,0,0
"pfam03016",0,0,0,0,0,0,0,0
"pfam03018",0,0,0,0,0,0,0,0
"pfam03022",0,0,0,0,0,0,0,0
"pfam03023",2,2,1,1,2,1,1,1
"pfam03029",0,0,0,0,0,0,0,0
"pfam03030",1,0,1,1,1,0,1,1
"pfam03031",0,0,0,0,0,0,0,0
"pfam03033",0,1,1,1,1,0,2,1
"pfam03040",0,0,0,0,0,0,0,0
"pfam03050",0,1,0,0,0,0,0,2
"pfam03051",0,0,0,0,0,0,0,0
"pfam03054",0,2,1,1,1,1,1,0
"pfam03055",0,0,0,0,0,0,0,0
"pfam03060",0,0,0,0,0,0,0,0
"pfam03061",0,2,2,2,2,2,0,1
"pfam03062",0,0,0,0,0,0,0,5
"pfam03063",0,0,0,0,1,0,0,0
"pfam03065",0,2,0,0,0,1,0,2
"pfam03068",0,0,0,0,0,0,0,0
"pfam03069",0,0,0,0,0,0,0,0
"pfam03070",0,0,0,0,0,0,0,0
"pfam03073",1,0,1,1,0,0,0,0
"pfam03079",0,0,0,0,0,0,0,0
"pfam03083",0,0,0,0,0,0,0,0
"pfam03088",0,0,0,0,0,0,0,0
"pfam03091",0,1,1,1,0,1,1,1
"pfam03092",0,0,0,0,0,0,0,0
"pfam03096",0,0,0,0,0,0,0,0
"pfam03098",0,0,0,0,0,0,0,0
"pfam03099",0,3,1,2,0,1,1,3
"pfam03100",0,0,0,0,0,0,0,0
"pfam03102",0,0,0,0,0,0,0,0
"pfam03104",0,0,0,0,0,0,0,0
"pfam03109",0,0,0,0,0,0,1,0
"pfam03116",0,0,0,0,1,0,0,0
"pfam03118",1,1,1,0,1,1,0,1
"pfam03119",1,1,0,0,0,1,1,1
"pfam03120",1,1,0,0,1,1,1,1
"pfam03128",0,0,0,0,0,0,0,0
"pfam03129",2,2,3,4,4,3,3,5
"pfam03130",1,0,0,0,0,0,0,0
"pfam03135",0,0,0,0,0,0,0,0
"pfam03136",0,0,0,0,0,0,0,1
"pfam03139",0,0,0,0,0,0,0,0
"pfam03143",0,1,1,0,1,1,1,1
"pfam03144",1,5,4,2,7,6,3,3
"pfam03147",1,0,0,1,1,0,0,1
"pfam03150",1,0,0,0,0,0,3,2
"pfam03160",0,0,0,0,0,0,0,0
"pfam03161",0,0,0,0,0,0,0,0
"pfam03162",0,0,0,0,0,0,0,0
"pfam03167",1,1,1,1,1,3,0,2
"pfam03168",0,0,0,0,0,0,0,0
"pfam03169",0,0,0,0,0,0,0,0
"pfam03170",0,0,0,0,0,0,0,0
"pfam03171",0,0,0,0,0,0,0,0
"pfam03173",0,0,0,0,0,0,0,0
"pfam03174",0,0,0,0,0,0,0,0
"pfam03176",0,0,0,0,0,0,1,1
"pfam03180",0,0,0,0,0,0,0,0
"pfam03186",0,0,0,0,0,0,0,0
"pfam03190",1,0,1,1,0,1,1,1
"pfam03193",1,1,0,0,0,1,0,1
"pfam03198",0,0,0,0,0,0,0,0
"pfam03200",0,1,0,0,0,0,0,0
"pfam03203",0,0,0,0,0,0,0,0
"pfam03205",0,0,0,0,0,0,0,0
"pfam03206",0,0,0,0,0,0,0,0
"pfam03209",0,0,0,0,0,0,0,0
"pfam03219",0,0,0,0,0,0,0,0
"pfam03222",0,0,0,0,0,0,0,0
"pfam03232",0,0,0,0,0,0,0,0
"pfam03235",0,0,0,0,0,0,0,0
"pfam03237",0,0,0,0,0,0,0,0
"pfam03239",0,0,0,0,0,0,0,0
"pfam03241",0,0,0,0,0,0,0,0
"pfam03243",0,0,0,0,0,0,0,0
"pfam03253",0,0,0,0,0,0,0,0
"pfam03255",1,0,1,2,0,1,0,1
"pfam03259",0,0,0,0,0,0,0,1
"pfam03264",0,0,0,0,0,0,0,0
"pfam03265",0,0,0,0,0,0,1,0
"pfam03266",0,0,0,0,0,0,0,0
"pfam03269",0,1,0,0,0,0,0,0
"pfam03270",0,0,0,0,0,0,0,0
"pfam03275",1,1,0,0,0,0,0,1
"pfam03279",1,1,1,0,2,0,2,3
"pfam03288",0,0,0,0,0,0,0,0
"pfam03301",0,0,0,0,0,0,0,0
"pfam03306",0,0,0,0,0,0,0,0
"pfam03308",0,0,0,0,0,0,0,0
"pfam03309",1,1,0,1,0,1,1,1
"pfam03313",2,0,0,0,0,0,0,0
"pfam03315",1,0,0,0,0,0,0,0
"pfam03319",3,0,0,0,0,3,0,3
"pfam03320",1,0,0,0,0,0,0,1
"pfam03321",0,0,0,0,0,0,0,0
"pfam03328",0,0,0,0,0,0,3,1
"pfam03330",2,1,0,0,0,2,0,0
"pfam03331",1,1,1,1,0,0,0,1
"pfam03332",0,0,0,0,0,0,0,0
"pfam03334",0,0,0,0,0,0,0,0
"pfam03349",0,0,0,0,0,0,0,0
"pfam03350",0,0,1,1,0,0,0,0
"pfam03351",0,0,0,0,0,0,0,0
"pfam03352",0,0,0,0,0,0,0,1
"pfam03354",0,0,0,0,0,0,0,0
"pfam03358",1,0,0,0,0,0,0,0
"pfam03364",0,0,0,0,0,0,0,1
"pfam03370",0,0,0,0,0,0,0,0
"pfam03372",5,2,3,1,2,2,0,2
"pfam03379",0,0,0,0,0,0,0,0
"pfam03382",0,0,0,0,0,0,0,0
"pfam03385",0,0,0,0,0,0,0,0
"pfam03388",0,0,0,0,0,0,0,0
"pfam03389",0,0,0,0,0,0,0,0
"pfam03390",0,0,0,0,0,0,0,0
"pfam03400",0,0,0,0,0,0,0,0
"pfam03401",0,0,0,0,0,0,0,0
"pfam03403",0,0,0,1,0,0,0,0
"pfam03404",0,0,0,0,0,0,0,0
"pfam03405",0,0,0,0,0,0,0,0
"pfam03407",0,0,0,0,0,0,0,0
"pfam03411",0,0,0,0,0,0,0,0
"pfam03412",1,0,0,0,0,0,0,0
"pfam03413",0,0,0,0,0,0,0,0
"pfam03414",0,0,0,0,0,0,0,0
"pfam03415",0,0,0,0,0,0,0,0
"pfam03417",0,0,0,0,0,0,0,0
"pfam03420",0,0,0,0,0,0,0,0
"pfam03422",0,0,1,1,0,0,1,0
"pfam03425",0,0,0,0,0,0,0,0
"pfam03432",0,0,0,0,0,0,0,0
"pfam03435",1,0,1,1,0,0,0,0
"pfam03437",0,0,0,0,0,0,0,0
"pfam03441",1,2,1,1,0,2,0,1
"pfam03444",0,0,0,0,0,0,0,0
"pfam03445",0,0,0,0,0,0,0,0
"pfam03446",3,4,1,2,0,1,1,4
"pfam03447",1,0,2,1,1,0,0,1
"pfam03448",0,1,0,0,0,1,1,1
"pfam03449",1,1,1,1,1,1,1,1
"pfam03450",0,0,0,0,0,0,0,0
"pfam03453",0,0,0,0,0,0,1,1
"pfam03454",0,0,0,0,0,0,1,2
"pfam03457",0,0,0,0,0,0,0,0
"pfam03458",0,0,0,0,0,0,1,0
"pfam03459",0,0,0,0,1,0,0,0
"pfam03460",0,1,1,0,1,1,0,1
"pfam03461",0,1,1,1,0,1,1,1
"pfam03462",2,2,2,2,1,2,2,1
"pfam03466",3,1,2,3,0,0,2,1
"pfam03471",2,2,1,2,1,2,0,2
"pfam03472",0,0,0,0,0,0,0,0
"pfam03473",0,0,0,0,0,0,0,0
"pfam03476",0,0,0,0,0,0,0,0
"pfam03477",0,0,1,1,1,2,2,0
"pfam03479",0,0,0,0,0,0,0,0
"pfam03480",0,0,0,0,0,0,0,0
"pfam03481",0,1,1,1,1,1,0,1
"pfam03483",1,1,0,1,1,0,1,1
"pfam03484",1,1,0,1,1,0,1,1
"pfam03485",1,1,0,1,1,2,1,1
"pfam03486",1,1,1,1,0,1,0,2
"pfam03496",0,0,0,0,0,0,0,0
"pfam03500",0,0,0,0,0,0,0,0
"pfam03502",0,0,0,0,0,0,0,0
"pfam03524",0,0,0,0,0,0,0,0
"pfam03527",0,0,0,0,0,0,0,0
"pfam03534",0,0,0,0,0,0,0,0
"pfam03537",0,0,0,0,0,0,0,0
"pfam03538",0,0,0,0,0,0,0,0
"pfam03544",1,2,2,1,1,1,1,2
"pfam03547",1,1,1,0,3,1,1,1
"pfam03548",0,0,0,0,0,0,1,1
"pfam03550",0,0,0,0,0,0,0,0
"pfam03551",0,0,0,0,0,0,1,0
"pfam03552",0,0,0,0,0,0,0,0
"pfam03553",0,1,0,0,0,0,0,0
"pfam03559",0,0,0,0,0,0,0,0
"pfam03562",0,0,0,0,0,0,0,0
"pfam03567",0,0,0,0,0,0,0,0
"pfam03571",0,0,0,0,0,0,0,0
