Name	Length	Category	Wilcoxon_group
TIGR03478-sample1	332	DMSO_reductase	not_plotted
TIGR03080-sample1	237	methane_ammonia_monooxygenase	not_plotted
TIGR03079-sample1	399	methane_ammonia_monooxygenase	not_plotted
TIGR03078-sample1	232	methane_ammonia_monooxygenase	not_plotted
propionyl-CoA-synthase_alignment-sample1	1855	alt_carbon_fixation	not_plotted
TIGR01432-sample1	236	cytochrome_aa3_quinol_oxidase 	cytochrome aa3
TIGR02882-sample1	647	cytochrome_aa3_quinol_oxidase	cytochrome aa3
TIGR02486-sample1	302	reductive_dehalogenase	not_plotted
rubisco_form_I_alignment-sample1	499	rubisco	RuBisCO
rubisco_form_II_alignment-sample1	468	rubisco	RuBisCO
rubisco_form_III_alignment-sample1	460	rubisco	RuBisCO
rubisco_form_II_III_alignment-sample1	485	rubisco	RuBisCO
rubisco_form_IV_alignment-sample1	437	rubisco	RuBisCO
TIGR00339-sample1	397	sulfate_adenylyltranferase	sulfate ademylyltransferase
TIGR03313-sample1	979	selenate_reductase	not_plotted
TIGR02821-sample1	284	s-formylglutathione_hydrolase	not_plotted
TIGR02818-sample1	388	s-hydroxymethylglutathione_dehydrogenase	not_plotted
TIGR03451-sample1	378	s-hydroxymethylmycothiol_dehydrogenase	not_plotted
sor_PF07682_full.stockholm-sample1	316	sulfur_oxygenase_reductase	not_plotted
TIGR04486-sample1	573	thiosulfohydrolase_SoxB	SOX
TIGR04555-sample1	407	sulfite_dehydrogenase_SoxC	SOX
TIGR04488-sample1	150	thiosulfate_oxidation_carrier_SoxY SOX
sulfur_dioxygenase_sdo_alignment-sample1	245	sulfur_dioxygenase	not_plotted
thiosulfate_reductase_phsA_alignment-sample1	778	thiosulfate_reductase	not_plotted
TIGR00193-sample1	103	urease	not_plotted
TIGR00192-sample1	107	urease	not_plotted
TIGR01792-sample1	582	urease	not_plotted
TIGR03315-sample1	1024	selenate reductase	not_plotted
TIGR03312-sample1	257	selenate reductase	not_plotted
gi|118567952|gb|ABL02757.1|sqr	431	sulfide_quinone_reductase	sulfide quinone reductase
gi|500800570|ref|WP_011998629.1|4-hydroxybutyryl-CoA-dehydratase	512	alt_carbon_fixation	not_plotted
