sample	reads	bps	layer	date	year	day	month	JGI Portal ID
PUBP	7786439	1660650599	Epilimnion	04/02/12	2012	02	04	LakMenEpi02Apr12
PTXH	8636986	1863806359	Epilimnion	05/05/12	2012	05	05	LakMenEpi05May12
PTXO	6034692	1320241399	Epilimnion	05/17/12	2012	17	05	LakMenEpi17May12
PTXT	5265691	1143541803	Epilimnion	06/02/12	2012	02	06	LakMenEpi02Jun12
PTYO	5908120	1277443364	Epilimnion	06/08/12	2012	08	06	LakMenEpi08Jun12
PTYW	5895637	1283733723	Epilimnion	06/15/12	2012	15	06	LakMenEpi15Jun12
PTZA	6929379	1467349659	Epilimnion	06/22/12	2012	22	06	LakMenEpi22Jun12
PTXU	5548590	1220647601	Epilimnion	06/29/12	2012	29	06	LakMenEpi29Jun12
PTXP	8126577	1732778709	Epilimnion	07/06/12	2012	06	07	LakMenEpi06Jul12
PTXN	7063142	1517972007	Epilimnion	07/13/12	2012	13	07	LakMenEpi13Jul12
PTXC	5401808	1192312455	Epilimnion	07/20/12	2012	20	07	LakMenEpi20Jul12
PTYY	6888002	1506567788	Epilimnion	07/27/12	2012	27	07	LakMenEpi27Jul12
PTYZ	4795115	1055278603	Epilimnion	08/03/12	2012	03	08	LakMenEpi03Aug12
PTYU	5444558	1197099714	Epilimnion	08/17/12	2012	17	08	LakMenEpi17Aug12
PUAB	5274134	1153662469	Epilimnion	08/24/12	2012	24	08	LakMenEpi24Aug12
PTZU	7527867	1617642409	Epilimnion	08/31/12	2012	31	08	LakMenEpi31Aug12
PTZY	6182935	1330661711	Epilimnion	09/07/12	2012	07	09	LakMenEpi07Sep12
PUBG	5618366	1242544478	Epilimnion	09/13/12	2012	13	09	LakMenEpi13Sep12
PUBN	5665228	1230780588	Epilimnion	09/21/12	2012	21	09	LakMenEpi21Sep12
PUAW	4557806	1006247414	Epilimnion	09/27/12	2012	27	09	LakMenEpi27Sep12
PUAY	5562828	1232434231	Epilimnion	10/08/12	2012	08	10	LakMenEpi08Oct12
PTXG	5606097	1225877703	Epilimnion	10/12/12	2012	12	10	LakMenEpi12Oct12
PTXX	4114160	917855335	Epilimnion	10/22/12	2012	22	10	LakMenEpi22Oct12
PTXZ	2681896	626406967	Epilimnion	10/26/12	2012	26	10	LakMenEpi26Oct12
PTYX	6953406	1493552899	Epilimnion	11/05/12	2012	05	11	LakMenEpi05Nov12
PTYT	5960609	1310920870	Epilimnion	11/09/12	2012	09	11	LakMenEpi09Nov12
PTZN	7207518	1555090541	Epilimnion	11/16/12	2012	16	11	LakMenEpi16Nov12
