Genome_Name,Genome_Size,Est_Completeness,IMG_Genome_ID
TH05629,4397594,97.22,2582580697
TH05702,1348795,95.28,2582580698
TH05737,1679340,81.36,2582580699
TH05891,3181706,91.23,2582580700
TH06070,878995,79.65,2582580701
TH06286,5154715,90.91,2582580702
TH06717,1942197,83.49,2582580703
TH06736,1511669,43.51,2582580704
TH00680,1257796,72.7,2582580705
TH07795,819610,72.22,2582580706
TH07925,1117672,31.49,2582580707
TH07934,2314650,64.1,2582580708
TH08362,495687,48.91,2582580709
TH00941v2,1496525,57.24,2593339177
TH00944,1737056,69.83,2582580711
TH00953,1556854,93.3,2582580712
TH09906,795830,39.5,2582580714
